Year,StateAbbr,StateDesc,CountyName,CountyFIPS,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,TotalPop18plus,Geolocation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text
2022,DC,District of Columbia,District of Columbia,11001,11001002101,BRFSS,Health-Related Social Needs,Received food stamps in the past 12 months among adults,%,Crude prevalence,17.7,,,15.7,20.0,5687,4375,POINT (-77.0241312 38.9559119),11001002101,SOCLNEED,FOODSTAMP,CrdPrv,Food Stamps
2022,DC,District of Columbia,District of Columbia,11001,11001008301,BRFSS,Health Risk Behaviors,Short sleep duration among adults,%,Crude prevalence,27.1,,,22.3,32.3,3220,2781,POINT (-77.0008008 38.8970373),11001008301,RISKBEH,SLEEP,CrdPrv,Short Sleep Duration
2022,DC,District of Columbia,District of Columbia,11001,11001004702,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,5.9,,,4.8,7.1,3934,3715,POINT (-77.0136108 38.9008601),11001004702,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost
2022,DC,District of Columbia,District of Columbia,11001,11001008302,BRFSS,Health Status,Fair or poor self-rated health status among adults,%,Crude prevalence,6.2,,,5.4,7.0,3026,2557,POINT (-76.9966527 38.8963061),11001008302,HLTHSTAT,GHLTH,CrdPrv,General Health
2022,DC,District of Columbia,District of Columbia,11001,11001007504,BRFSS,Disability,Independent living disability among adults,%,Crude prevalence,11.4,,,10.3,12.5,2730,1960,POINT (-76.9796257 38.8609955),11001007504,DISABLT,INDEPLIVE,CrdPrv,Independent Living Disability
2022,DC,District of Columbia,District of Columbia,11001,11001002600,BRFSS,Health-Related Social Needs,Food insecurity in the past 12 months among adults,%,Crude prevalence,7.0,,,6.3,7.8,2592,2021,POINT (-77.0404553 38.9464323),11001002600,SOCLNEED,FOODINSECU,CrdPrv,Food Insecurity
2022,DC,District of Columbia,District of Columbia,11001,11001001702,BRFSS,Health Risk Behaviors,Short sleep duration among adults,%,Crude prevalence,31.6,,,26.3,37.1,3356,2799,POINT (-77.0160682 38.9717231),11001001702,RISKBEH,SLEEP,CrdPrv,Short Sleep Duration
2022,DC,District of Columbia,District of Columbia,11001,11001009509,BRFSS,Prevention,Colorectal cancer screening among adults aged 45–75 years,%,Crude prevalence,75.9,,,72.1,79.4,3194,2643,POINT (-76.9950319 38.949214),11001009509,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening
2022,DC,District of Columbia,District of Columbia,11001,11001000101,BRFSS,Health Risk Behaviors,Binge drinking among adults,%,Crude prevalence,28.8,,,25.0,32.6,1406,1288,POINT (-77.0547765 38.9076994),11001000101,RISKBEH,BINGE,CrdPrv,Binge Drinking
2022,DC,District of Columbia,District of Columbia,11001,11001007202,BRFSS,Health Outcomes,Obesity among adults,%,Crude prevalence,17.6,,,13.6,22.1,4303,4152,POINT (-77.0070741 38.8786426),11001007202,HLTHOUT,OBESITY,CrdPrv,Obesity
2022,DC,District of Columbia,District of Columbia,11001,11001000101,BRFSS,Health Outcomes,Depression among adults,%,Crude prevalence,21.3,,,17.9,24.9,1406,1288,POINT (-77.0547765 38.9076994),11001000101,HLTHOUT,DEPRESSION,CrdPrv,Depression
2022,DC,District of Columbia,District of Columbia,11001,11001007408,BRFSS,Prevention,Visited dentist or dental clinic in the past year among adults,%,Crude prevalence,37.8,,,32.9,42.6,2867,1884,POINT (-76.9706266 38.8525662),11001007408,PREVENT,DENTAL,CrdPrv,Dental Visit
2022,DC,District of Columbia,District of Columbia,11001,11001007708,BRFSS,Health-Related Social Needs,Food insecurity in the past 12 months among adults,%,Crude prevalence,25.3,,,23.1,28.0,2574,1900,POINT (-76.9606349 38.8871944),11001007708,SOCLNEED,FOODINSECU,CrdPrv,Food Insecurity
2022,DC,District of Columbia,District of Columbia,11001,11001004704,BRFSS,Health-Related Social Needs,Lack of reliable transportation in the past 12 months among adults,%,Crude prevalence,25.9,,,24.0,28.0,1945,1339,POINT (-77.0114767 38.904566),11001004704,SOCLNEED,LACKTRPT,CrdPrv,Transportation Barriers
2022,DC,District of Columbia,District of Columbia,11001,11001007407,BRFSS,Health-Related Social Needs,Housing insecurity in the past 12 months among adults,%,Crude prevalence,24.8,,,22.7,27.2,3491,2591,POINT (-76.9850206 38.8574823),11001007407,SOCLNEED,HOUSINSECU,CrdPrv,Housing Insecurity
2022,DC,District of Columbia,District of Columbia,11001,11001000702,BRFSS,Prevention,Visited dentist or dental clinic in the past year among adults,%,Crude prevalence,78.1,,,74.2,81.5,3452,3175,POINT (-77.077893 38.9241271),11001000702,PREVENT,DENTAL,CrdPrv,Dental Visit
2022,DC,District of Columbia,District of Columbia,11001,11001005302,BRFSS,Health-Related Social Needs,Received food stamps in the past 12 months among adults,%,Crude prevalence,3.1,,,2.6,3.7,2518,2339,POINT (-77.0386443 38.9124517),11001005302,SOCLNEED,FOODSTAMP,CrdPrv,Food Stamps
2022,DC,District of Columbia,District of Columbia,11001,11001000501,BRFSS,Health Status,Fair or poor self-rated health status among adults,%,Crude prevalence,6.3,,,5.5,7.1,3829,3470,POINT (-77.051434 38.9264548),11001000501,HLTHSTAT,GHLTH,CrdPrv,General Health
2021,DC,District of Columbia,District of Columbia,11001,11001009301,BRFSS,Health Outcomes,High cholesterol among adults who have ever been screened,%,Crude prevalence,31.4,,,27.5,35.6,3853,3104,POINT (-76.9864892 38.9307613),11001009301,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
2022,DC,District of Columbia,District of Columbia,11001,11001003901,BRFSS,Disability,Cognitive disability among adults,%,Crude prevalence,7.1,,,6.3,8.0,2598,2428,POINT (-77.0401076 38.9254851),11001003901,DISABLT,COGNITION,CrdPrv,Cognitive Disability
2021,DC,District of Columbia,District of Columbia,11001,11001001804,BRFSS,Health Outcomes,High blood pressure among adults,%,Crude prevalence,37.4,,,33.6,41.5,5500,4129,POINT (-77.0304334 38.9670945),11001001804,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
2022,DC,District of Columbia,District of Columbia,11001,11001007603,BRFSS,Disability,Hearing disability among adults,%,Crude prevalence,3.7,,,3.2,4.1,4185,3503,POINT (-76.9585469 38.859109),11001007603,DISABLT,HEARING,CrdPrv,Hearing Disability
2022,DC,District of Columbia,District of Columbia,11001,11001004802,BRFSS,Health Outcomes,Arthritis among adults,%,Crude prevalence,16.2,,,14.1,18.4,3634,3180,POINT (-77.0188917 38.9062118),11001004802,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis
2022,DC,District of Columbia,District of Columbia,11001,11001009302,BRFSS,Health Status,Fair or poor self-rated health status among adults,%,Crude prevalence,12.8,,,11.4,14.3,1750,1476,POINT (-76.9907773 38.9251636),11001009302,HLTHSTAT,GHLTH,CrdPrv,General Health
2022,DC,District of Columbia,District of Columbia,11001,11001001600,BRFSS,Health-Related Social Needs,Food insecurity in the past 12 months among adults,%,Crude prevalence,7.4,,,6.6,8.3,4471,3466,POINT (-77.0382324 38.9849725),11001001600,SOCLNEED,FOODINSECU,CrdPrv,Food Insecurity
2022,DC,District of Columbia,District of Columbia,11001,11001003100,BRFSS,Health Outcomes,Arthritis among adults,%,Crude prevalence,10.9,,,9.3,12.5,3873,3329,POINT (-77.0254235 38.930617),11001003100,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis
2022,DC,District of Columbia,District of Columbia,11001,11001006500,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,3.8,,,2.9,5.1,2609,2258,POINT (-77.0033314 38.883848),11001006500,PREVENT,ACCESS2,CrdPrv,Health Insurance
2022,DC,District of Columbia,District of Columbia,11001,11001001301,BRFSS,Disability,Cognitive disability among adults,%,Crude prevalence,7.4,,,6.5,8.3,4160,3452,POINT (-77.0520508 38.9519215),11001001301,DISABLT,COGNITION,CrdPrv,Cognitive Disability
2022,DC,District of Columbia,District of Columbia,11001,11001009000,BRFSS,Health-Related Social Needs,Housing insecurity in the past 12 months among adults,%,Crude prevalence,16.0,,,14.6,17.6,4676,3764,POINT (-76.9545101 38.9226934),11001009000,SOCLNEED,HOUSINSECU,CrdPrv,Housing Insecurity
2022,DC,District of Columbia,District of Columbia,11001,11001003100,BRFSS,Health-Related Social Needs,Food insecurity in the past 12 months among adults,%,Crude prevalence,8.2,,,7.4,9.2,3873,3329,POINT (-77.0254235 38.930617),11001003100,SOCLNEED,FOODINSECU,CrdPrv,Food Insecurity
2022,DC,District of Columbia,District of Columbia,11001,11001007709,BRFSS,Health Outcomes,Obesity among adults,%,Crude prevalence,36.1,,,29.5,43.1,2072,1643,POINT (-76.9675363 38.879862),11001007709,HLTHOUT,OBESITY,CrdPrv,Obesity
2022,DC,District of Columbia,District of Columbia,11001,11001001902,BRFSS,Health Outcomes,Depression among adults,%,Crude prevalence,18.2,,,15.2,21.4,2117,1681,POINT (-77.0156458 38.9639299),11001001902,HLTHOUT,DEPRESSION,CrdPrv,Depression
2022,DC,District of Columbia,District of Columbia,11001,11001004002,BRFSS,Health Status,Frequent physical distress among adults,%,Crude prevalence,6.0,,,5.3,6.8,3291,3095,POINT (-77.0437209 38.9181186),11001004002,HLTHSTAT,PHLTH,CrdPrv,Frequent Physical Distress
2022,DC,District of Columbia,District of Columbia,11001,11001002703,BRFSS,Health Status,Fair or poor self-rated health status among adults,%,Crude prevalence,9.5,,,8.4,10.7,2614,2264,POINT (-77.0397435 38.9334921),11001002703,HLTHSTAT,GHLTH,CrdPrv,General Health
2022,DC,District of Columbia,District of Columbia,11001,11001002400,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults,%,Crude prevalence,3.6,,,3.1,4.0,4095,3488,POINT (-77.0224058 38.9417822),11001002400,HLTHOUT,COPD,CrdPrv,COPD
2022,DC,District of Columbia,District of Columbia,11001,11001004702,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,9.4,,,8.4,10.6,3934,3715,POINT (-77.0136108 38.9008601),11001004702,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2022,DC,District of Columbia,District of Columbia,11001,11001006804,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults,%,Crude prevalence,9.6,,,8.5,10.8,2429,2413,POINT (-76.9704836 38.8863842),11001006804,HLTHOUT,COPD,CrdPrv,COPD
2022,DC,District of Columbia,District of Columbia,11001,11001010601,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,79.8,,,74.0,84.9,2130,2023,POINT (-77.0063018 38.907653),11001010601,PREVENT,MAMMOUSE,CrdPrv,Mammography
2022,DC,District of Columbia,District of Columbia,11001,11001001200,BRFSS,Disability,Hearing disability among adults,%,Crude prevalence,3.8,,,3.4,4.3,5371,4377,POINT (-77.0705215 38.9462221),11001001200,DISABLT,HEARING,CrdPrv,Hearing Disability
2022,DC,District of Columbia,District of Columbia,11001,11001007605,BRFSS,Health Outcomes,Coronary heart disease among adults,%,Crude prevalence,6.4,,,5.8,7.1,3663,2862,POINT (-76.9752566 38.8660433),11001007605,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease
2022,DC,District of Columbia,District of Columbia,11001,11001008702,BRFSS,Health-Related Social Needs,Received food stamps in the past 12 months among adults,%,Crude prevalence,7.7,,,6.7,8.9,3574,3181,POINT (-77.0013085 38.9150961),11001008702,SOCLNEED,FOODSTAMP,CrdPrv,Food Stamps
2021,DC,District of Columbia,District of Columbia,11001,11001000903,BRFSS,Prevention,Cholesterol screening among adults,%,Crude prevalence,74.3,,,69.3,79.0,4202,3953,POINT (-77.093331 38.9376821),11001000903,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
2021,DC,District of Columbia,District of Columbia,11001,11001003701,BRFSS,Health Outcomes,High blood pressure among adults,%,Crude prevalence,18.1,,,15.5,21.1,2916,2536,POINT (-77.0342887 38.9214487),11001003701,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
2021,DC,District of Columbia,District of Columbia,11001,11001003000,BRFSS,Prevention,Cholesterol screening among adults,%,Crude prevalence,83.8,,,80.5,86.9,3561,3032,POINT (-77.0299525 38.9288689),11001003000,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
2022,DC,District of Columbia,District of Columbia,11001,11001010601,BRFSS,Disability,Mobility disability among adults,%,Crude prevalence,3.1,,,2.7,3.5,2130,2023,POINT (-77.0063018 38.907653),11001010601,DISABLT,MOBILITY,CrdPrv,Mobility Disability
2022,DC,District of Columbia,District of Columbia,11001,11001008803,BRFSS,Health Status,Frequent physical distress among adults,%,Crude prevalence,8.7,,,7.7,9.7,4036,3569,POINT (-76.9913622 38.9104603),11001008803,HLTHSTAT,PHLTH,CrdPrv,Frequent Physical Distress
2022,DC,District of Columbia,District of Columbia,11001,11001008904,BRFSS,Health-Related Social Needs,Lack of reliable transportation in the past 12 months among adults,%,Crude prevalence,12.6,,,11.6,13.9,3137,2455,POINT (-76.9748514 38.9009808),11001008904,SOCLNEED,LACKTRPT,CrdPrv,Transportation Barriers
2022,DC,District of Columbia,District of Columbia,11001,11001009810,BRFSS,Health-Related Social Needs,Food insecurity in the past 12 months among adults,%,Crude prevalence,33.1,,,30.4,36.2,2461,1749,POINT (-77.0037886 38.826037),11001009810,SOCLNEED,FOODINSECU,CrdPrv,Food Insecurity
2022,DC,District of Columbia,District of Columbia,11001,11001005502,BRFSS,Health-Related Social Needs,Housing insecurity in the past 12 months among adults,%,Crude prevalence,6.3,,,5.6,7.1,2968,2816,POINT (-77.0463615 38.9101768),11001005502,SOCLNEED,HOUSINSECU,CrdPrv,Housing Insecurity
2022,DC,District of Columbia,District of Columbia,11001,11001000702,BRFSS,Disability,Independent living disability among adults,%,Crude prevalence,3.4,,,3.0,3.8,3452,3175,POINT (-77.077893 38.9241271),11001000702,DISABLT,INDEPLIVE,CrdPrv,Independent Living Disability
2022,DC,District of Columbia,District of Columbia,11001,11001000501,BRFSS,Health-Related Social Needs,Housing insecurity in the past 12 months among adults,%,Crude prevalence,7.3,,,6.5,8.2,3829,3470,POINT (-77.051434 38.9264548),11001000501,SOCLNEED,HOUSINSECU,CrdPrv,Housing Insecurity
2022,DC,District of Columbia,District of Columbia,11001,11001008001,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,3.3,,,2.5,4.6,3103,2516,POINT (-76.9866524 38.8961726),11001008001,PREVENT,ACCESS2,CrdPrv,Health Insurance
2022,DC,District of Columbia,District of Columbia,11001,11001007808,BRFSS,Health-Related Social Needs,Lack of reliable transportation in the past 12 months among adults,%,Crude prevalence,19.4,,,17.9,21.0,3792,2833,POINT (-76.9192026 38.8922212),11001007808,SOCLNEED,LACKTRPT,CrdPrv,Transportation Barriers
2022,DC,District of Columbia,District of Columbia,11001,11001002301,BRFSS,Disability,Mobility disability among adults,%,Crude prevalence,8.9,,,7.9,10.0,3266,2592,POINT (-77.0165915 38.942552),11001002301,DISABLT,MOBILITY,CrdPrv,Mobility Disability
2022,DC,District of Columbia,District of Columbia,11001,11001000501,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,4.0,,,3.2,4.8,3829,3470,POINT (-77.051434 38.9264548),11001000501,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost
2022,DC,District of Columbia,District of Columbia,11001,11001008100,BRFSS,Health-Related Social Needs,Received food stamps in the past 12 months among adults,%,Crude prevalence,2.9,,,2.4,3.4,3153,2601,POINT (-76.9925272 38.893171),11001008100,SOCLNEED,FOODSTAMP,CrdPrv,Food Stamps
2022,DC,District of Columbia,District of Columbia,11001,11001009504,BRFSS,Disability,Vision disability among adults,%,Crude prevalence,5.0,,,4.6,5.5,3208,2696,POINT (-76.9931121 38.9409032),11001009504,DISABLT,VISION,CrdPrv,Vision Disability
2022,DC,District of Columbia,District of Columbia,11001,11001009302,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults,%,Crude prevalence,4.3,,,3.8,4.8,1750,1476,POINT (-76.9907773 38.9251636),11001009302,HLTHOUT,COPD,CrdPrv,COPD
2022,DC,District of Columbia,District of Columbia,11001,11001007503,BRFSS,Prevention,Colorectal cancer screening among adults aged 45–75 years,%,Crude prevalence,59.7,,,54.7,64.3,2528,1808,POINT (-76.98709 38.8640724),11001007503,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening
2022,DC,District of Columbia,District of Columbia,11001,11001000902,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,4.6,,,3.7,5.6,2317,1731,POINT (-77.1077517 38.9285125),11001000902,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost
2022,DC,District of Columbia,District of Columbia,11001,11001002001,BRFSS,Health Outcomes,Coronary heart disease among adults,%,Crude prevalence,7.4,,,6.7,8.2,2926,2250,POINT (-77.0351061 38.9597034),11001002001,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease
2022,DC,District of Columbia,District of Columbia,11001,11001005501,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Crude prevalence,7.7,,,6.2,9.4,2303,2196,POINT (-77.0494324 38.9052766),11001005501,RISKBEH,LPA,CrdPrv,Physical Inactivity
2021,DC,District of Columbia,District of Columbia,11001,11001001002,BRFSS,Health Outcomes,High blood pressure among adults,%,Crude prevalence,19.5,,,16.9,22.6,3643,3218,POINT (-77.0788872 38.9384216),11001001002,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
2022,DC,District of Columbia,District of Columbia,11001,11001001301,BRFSS,Health Status,Frequent mental distress among adults,%,Crude prevalence,11.5,,,10.2,12.8,4160,3452,POINT (-77.0520508 38.9519215),11001001301,HLTHSTAT,MHLTH,CrdPrv,Frequent Mental Distress
2022,DC,District of Columbia,District of Columbia,11001,11001006400,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults,%,Crude prevalence,72.9,,,68.0,77.4,2481,2042,POINT (-77.0114342 38.8688572),11001006400,PREVENT,CHECKUP,CrdPrv,Annual Checkup
2022,DC,District of Columbia,District of Columbia,11001,11001008702,BRFSS,Disability,Mobility disability among adults,%,Crude prevalence,5.2,,,4.5,5.8,3574,3181,POINT (-77.0013085 38.9150961),11001008702,DISABLT,MOBILITY,CrdPrv,Mobility Disability
2022,DC,District of Columbia,District of Columbia,11001,11001005601,BRFSS,Health-Related Social Needs,Lack of reliable transportation in the past 12 months among adults,%,Crude prevalence,6.6,,,6.0,7.3,2900,2852,POINT (-77.0524317 38.901567),11001005601,SOCLNEED,LACKTRPT,CrdPrv,Transportation Barriers
2022,DC,District of Columbia,District of Columbia,11001,11001003302,BRFSS,Health-Related Social Needs,Housing insecurity in the past 12 months among adults,%,Crude prevalence,8.9,,,8.0,9.9,2434,2131,POINT (-77.0111677 38.9139237),11001003302,SOCLNEED,HOUSINSECU,CrdPrv,Housing Insecurity
2022,DC,District of Columbia,District of Columbia,11001,11001009700,BRFSS,Disability,Independent living disability among adults,%,Crude prevalence,11.4,,,10.3,12.5,3188,2414,POINT (-76.9870248 38.8354183),11001009700,DISABLT,INDEPLIVE,CrdPrv,Independent Living Disability
2021,DC,District of Columbia,District of Columbia,11001,11001005001,BRFSS,Health Outcomes,High cholesterol among adults who have ever been screened,%,Crude prevalence,24.3,,,21.1,27.9,2012,1874,POINT (-77.0295088 38.9119619),11001005001,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
2022,DC,District of Columbia,District of Columbia,11001,11001002302,BRFSS,Health Status,Frequent mental distress among adults,%,Crude prevalence,11.6,,,10.4,12.9,1762,1495,POINT (-77.0095843 38.934127),11001002302,HLTHSTAT,MHLTH,CrdPrv,Frequent Mental Distress
2022,DC,District of Columbia,District of Columbia,11001,11001002801,BRFSS,Health Outcomes,Cancer (non-skin) or melanoma among adults,%,Crude prevalence,4.0,,,3.6,4.3,4398,3721,POINT (-77.0345166 38.9349477),11001002801,HLTHOUT,CANCER,CrdPrv,Cancer (non-skin) or Melanoma
2022,DC,District of Columbia,District of Columbia,11001,11001006700,BRFSS,Disability,Hearing disability among adults,%,Crude prevalence,3.3,,,2.9,3.8,3927,3311,POINT (-76.989959 38.8875984),11001006700,DISABLT,HEARING,CrdPrv,Hearing Disability
2022,DC,District of Columbia,District of Columbia,11001,11001005202,BRFSS,Disability,Independent living disability among adults,%,Crude prevalence,3.2,,,2.9,3.6,3408,3167,POINT (-77.0344946 38.911127),11001005202,DISABLT,INDEPLIVE,CrdPrv,Independent Living Disability
2022,DC,District of Columbia,District of Columbia,11001,11001009700,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,13.3,,,11.8,14.8,3188,2414,POINT (-76.9870248 38.8354183),11001009700,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2022,DC,District of Columbia,District of Columbia,11001,11001001401,BRFSS,Disability,Self-care disability among adults,%,Crude prevalence,1.5,,,1.3,1.6,3258,2520,POINT (-77.0706075 38.9653036),11001001401,DISABLT,SELFCARE,CrdPrv,Self-care Disability
2022,DC,District of Columbia,District of Columbia,11001,11001000102,BRFSS,Health Risk Behaviors,Short sleep duration among adults,%,Crude prevalence,24.6,,,20.1,29.4,3417,2929,POINT (-77.0620045 38.905422),11001000102,RISKBEH,SLEEP,CrdPrv,Short Sleep Duration
2022,DC,District of Columbia,District of Columbia,11001,11001009804,BRFSS,Health-Related Social Needs,Feeling socially isolated among adults,%,Crude prevalence,39.5,,,35.0,44.5,2517,1872,POINT (-76.997258 38.8420148),11001009804,SOCLNEED,ISOLATION,CrdPrv,Social Isolation
2021,DC,District of Columbia,District of Columbia,11001,11001001500,BRFSS,Health Outcomes,High cholesterol among adults who have ever been screened,%,Crude prevalence,37.0,,,32.5,41.6,6156,4542,POINT (-77.0558797 38.9741576),11001001500,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
2022,DC,District of Columbia,District of Columbia,11001,11001007203,BRFSS,Health Outcomes,Stroke among adults,%,Crude prevalence,1.2,,,1.1,1.3,3748,3307,POINT (-76.9994857 38.8781777),11001007203,HLTHOUT,STROKE,CrdPrv,Stroke
2022,DC,District of Columbia,District of Columbia,11001,11001005802,BRFSS,Disability,Mobility disability among adults,%,Crude prevalence,4.9,,,4.3,5.6,2145,2058,POINT (-77.0265766 38.8979674),11001005802,DISABLT,MOBILITY,CrdPrv,Mobility Disability
2022,DC,District of Columbia,District of Columbia,11001,11001007808,BRFSS,Disability,Hearing disability among adults,%,Crude prevalence,5.1,,,4.5,5.6,3792,2833,POINT (-76.9192026 38.8922212),11001007808,DISABLT,HEARING,CrdPrv,Hearing Disability
2022,DC,District of Columbia,District of Columbia,11001,11001004002,BRFSS,Health Status,Frequent mental distress among adults,%,Crude prevalence,14.1,,,12.6,15.6,3291,3095,POINT (-77.0437209 38.9181186),11001004002,HLTHSTAT,MHLTH,CrdPrv,Frequent Mental Distress
2022,DC,District of Columbia,District of Columbia,11001,11001010202,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,76.7,,,70.3,82.3,2631,2454,POINT (-77.024577 38.8843563),11001010202,PREVENT,MAMMOUSE,CrdPrv,Mammography
2022,DC,District of Columbia,District of Columbia,11001,11001004802,BRFSS,Health-Related Social Needs,Food insecurity in the past 12 months among adults,%,Crude prevalence,15.9,,,14.4,17.5,3634,3180,POINT (-77.0188917 38.9062118),11001004802,SOCLNEED,FOODINSECU,CrdPrv,Food Insecurity
2022,DC,District of Columbia,District of Columbia,11001,11001009700,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,9.0,,,6.5,12.1,3188,2414,POINT (-76.9870248 38.8354183),11001009700,PREVENT,ACCESS2,CrdPrv,Health Insurance
