X,Y,DCGISPrimaryCarePtNAME,DCGISPrimaryCarePtADDRESS,DCGISPrimaryCarePtCITY,DCGISPrimaryCarePtSTATE,DCGISPrimaryCarePtWARD,DCGISPrimaryCarePtPHONE,DCGISPrimaryCarePtFAX,DCGISPrimaryCarePtCT_HPSA,DCGISPrimaryCarePtMEDICALDIR,DCGISPrimaryCarePtCHARGENURS,DCGISPrimaryCarePtADMINISTRA,DCGISPrimaryCarePtWEB_URL,DCGISPrimaryCarePtMAR_CENSUS,DCGISPrimaryCarePtSEE_PATIENTS_WHO_CANT_PAY,DCGISPrimaryCarePtPOPULATION_SERVED,DCGISPrimaryCarePtWALKIN_UNSCHEDULED,DCGISPrimaryCarePtINSURANCE_ACCEPTED,DCGISPrimaryCarePtOPEN_TO_PUBLIC,DCGISPrimaryCarePtLIMITED_ACCESS,DCGISPrimaryCarePtTREATMENT_FOR_ALL,DCGISPrimaryCarePtPUBLIC_INSURANCE,DCGISPrimaryCarePtMEDICAID,DCGISPrimaryCarePtMEDICARE,DCGISPrimaryCarePtPRIVATE_EMPLOYER_INSURANCE,DCGISPrimaryCarePtPRIVATE_INSURANCE,DCGISPrimaryCarePtSLIDING_SCALE,DCGISPrimaryCarePtFACILITY_SETTING,DCGISPrimaryCarePtFACILITY_TYPE,DCGISPrimaryCarePtPRACTICE_TYPE,DCGISPrimaryCarePtYESNO,DCGISPrimaryCarePtLAST_MODIFIED_DATE,DCGISPrimaryCarePtLAST_MODIFIED_USER,DCGISPrimaryCarePtLAST_MODIFIED_ACTION,DCGISPrimaryCarePtGIS_ID,DCGISPrimaryCarePtOBJECTID,DCGISPrimaryCarePtXCOORD,DCGISPrimaryCarePtYCOORD,DCGISPrimaryCarePtZIP_1,DCGISPrimaryCarePtZIPCODE,DCGISPrimaryCarePtMAR_ID,DCGISPrimaryCarePtSE_ANNO_CAD_DATA,DCGISPrimaryCarePtGLOBALID,DCGISPrimaryCarePtCREATOR,DCGISPrimaryCarePtCREATED,DCGISPrimaryCarePtEDITOR,DCGISPrimaryCarePtEDITED,DCGISPRIMARY_CARE_INFOOBJECTID,DCGISPRIMARY_CARE_INFOOPEN_TO_PUBLIC,DCGISPRIMARY_CARE_INFOLIMITED_ACCESS,DCGISPRIMARY_CARE_INFOTREATMENT_FOR_ALL,DCGISPRIMARY_CARE_INFOPUBLIC_INSURANCE,DCGISPRIMARY_CARE_INFOMEDICAID,DCGISPRIMARY_CARE_INFOMEDICARE,DCGISPRIMARY_CARE_INFOPRIVATE_EMPLOYER_INSURANCE,DCGISPRIMARY_CARE_INFOPRIVATE_INSURANCE,DCGISPRIMARY_CARE_INFOSLIDING_SCALE,DCGISPRIMARY_CARE_INFOFACILITY_SETTING,DCGISPRIMARY_CARE_INFOFACILITY_TYPE,DCGISPRIMARY_CARE_INFOPRACTICE_TYPE,DCGISPRIMARY_CARE_INFOYESNO_,DCGISPRIMARY_CARE_INFOHR_CONTACT,DCGISPRIMARY_CARE_INFOHR_PHONE,DCGISPRIMARY_CARE_INFOHR_EMAIL,DCGISPRIMARY_CARE_INFOPUBLIC_SERVICES,DCGISPRIMARY_CARE_INFOPOP_SERVED,DCGISPRIMARY_CARE_INFOCHILD_SPECIAL_NEEDS,DCGISPRIMARY_CARE_INFOELDERLY,DCGISPRIMARY_CARE_INFOHIV,DCGISPRIMARY_CARE_INFOHOMELESS,DCGISPRIMARY_CARE_INFOLBGT,DCGISPRIMARY_CARE_INFOINTEL_DISABLED,DCGISPRIMARY_CARE_INFOLANGUAGE_LIMITED,DCGISPRIMARY_CARE_INFOOTHER_SPECIAL_POP,DCGISPRIMARY_CARE_INFOPHYSICALLY_DISABLED,DCGISPRIMARY_CARE_INFOMENTAL_ILLNESS,DCGISPRIMARY_CARE_INFOABILITY_TO_PAY,DCGISPRIMARY_CARE_INFOINSURANCE_ALLIANCE,DCGISPRIMARY_CARE_INFOPRIVATE_PLANS,DCGISPRIMARY_CARE_INFOEXCLUDED_PLANS,DCGISPRIMARY_CARE_INFOPRACTICE_SETTING,DCGISPRIMARY_CARE_INFOHOSPITAL_AFFILIATION,DCGISPRIMARY_CARE_INFOCARDIOLOGY,DCGISPRIMARY_CARE_INFODERMATOLOGY,DCGISPRIMARY_CARE_INFOENDOCRINOLOGY,DCGISPRIMARY_CARE_INFOGASTROENTEROLOGY,DCGISPRIMARY_CARE_INFOGENERAL_SURGERY,DCGISPRIMARY_CARE_INFOHIV_AIDS,DCGISPRIMARY_CARE_INFOINFECTIOUS_DISEASE,DCGISPRIMARY_CARE_INFONEPHROLOGY,DCGISPRIMARY_CARE_INFONEUROLOGY,DCGISPRIMARY_CARE_INFOOBSTETRICS,DCGISPRIMARY_CARE_INFOONCOLOGY,DCGISPRIMARY_CARE_INFOOPTHALMOLOGY,DCGISPRIMARY_CARE_INFOORAL_SURGERY,DCGISPRIMARY_CARE_INFOOTHER_SPECIALTY,DCGISPRIMARY_CARE_INFOORTHOPEDIC,DCGISPRIMARY_CARE_INFOGASTRO_ENT,DCGISPRIMARY_CARE_INFOPEDIATRICS,DCGISPRIMARY_CARE_INFOPODIATRY,DCGISPRIMARY_CARE_INFOPRIMARY_CARE,DCGISPRIMARY_CARE_INFOPSYCHIATRY,DCGISPRIMARY_CARE_INFOPULMONARY_MEDICINE,DCGISPRIMARY_CARE_INFOREPRODUCTIVE_HEALTH,DCGISPRIMARY_CARE_INFORHEUMATOLOGY,DCGISPRIMARY_CARE_INFOSTI_TEST_TREAT,DCGISPRIMARY_CARE_INFOUROLOGY,DCGISPRIMARY_CARE_INFODENTISTRY,DCGISPRIMARY_CARE_INFOHEALTH_NUTR_ED,DCGISPRIMARY_CARE_INFOMENTAL_HEALTH,DCGISPRIMARY_CARE_INFOPHARMACY,DCGISPRIMARY_CARE_INFOOTHER_SERVICES,DCGISPRIMARY_CARE_INFOWIC,DCGISPRIMARY_CARE_INFOSOCIAL_SERVICES,DCGISPRIMARY_CARE_INFOCHILDCARE,DCGISPRIMARY_CARE_INFOINSURANCE_SCREEN,DCGISPRIMARY_CARE_INFOINSURANCE_OTHER,DCGISPRIMARY_CARE_INFOACCEPT_NEW_PT,DCGISPRIMARY_CARE_INFOSCHEDULE_APPT_PHONE,DCGISPRIMARY_CARE_INFOSCHEDULE_APPT_EMAIL,DCGISPRIMARY_CARE_INFOSCHEDULE_APPT_WEB,DCGISPRIMARY_CARE_INFOOPEN_ACCESS_SCHEDULE,DCGISPRIMARY_CARE_INFOOPEN_ACCESS_TIME,DCGISPRIMARY_CARE_INFOHOURS_MONDAY,DCGISPRIMARY_CARE_INFOHOURS_TUESDAY,DCGISPRIMARY_CARE_INFOHOURS_WEDNESDAY,DCGISPRIMARY_CARE_INFOHOURS_THURSDAY,DCGISPRIMARY_CARE_INFOHOURS_FRIDAY,DCGISPRIMARY_CARE_INFOHOURS_SATURDAY,DCGISPRIMARY_CARE_INFOHOURS_SUNDAY,DCGISPRIMARY_CARE_INFOENGLISH,DCGISPRIMARY_CARE_INFOSPANISH,DCGISPRIMARY_CARE_INFOVIETNAMESE,DCGISPRIMARY_CARE_INFOKOREAN,DCGISPRIMARY_CARE_INFOAMHARIC,DCGISPRIMARY_CARE_INFOCHINESE_TRADITIONAL,DCGISPRIMARY_CARE_INFOFRENCH,DCGISPRIMARY_CARE_INFOASL,DCGISPRIMARY_CARE_INFOOTHER_LANGUAGE,DCGISPRIMARY_CARE_INFOFACILITY_AFFILIATION,DCGISPRIMARY_CARE_INFOGIS_ID,DCGISPRIMARY_CARE_INFOEVENING_HOURS,DCGISPRIMARY_CARE_INFOMEDICAL_SERVICES_AVAILABLE,DCGISPRIMARY_CARE_INFOQUADRANT,DCGISPRIMARY_CARE_INFOANC,DCGISPRIMARY_CARE_INFOWEEKEND_HOURS,DCGISPRIMARY_CARE_INFOCREATED_USER,DCGISPRIMARY_CARE_INFOCREATED_DATE,DCGISPRIMARY_CARE_INFOLAST_EDITED_USER,DCGISPRIMARY_CARE_INFOLAST_EDITED_DATE,DCGISPRIMARY_CARE_INFOMAR_ID
-8575099.3297243,4708440.9088816,Unity - N Street Village Health Center,1333 N STREET NW,WASHINGTON,DC,2,202-508-0500, , , , , ,https://www.unityhealthcare.org/,005003, , ,Yes, ,Yes,Homeless/Residential,Yes, ,Yes,Yes, , ,Yes,Community Health Center-FQHC,Private Non-Profit, ,,,,,PC_44,331,397274.31,137745.63,20005,20005,298405,,{8360C6D4-276D-4EC7-A547-6BF8BDCB1DBD},JLAY,2022/09/22 15:59:52+00,JLAY,2022/09/22 15:59:52+00,331,Yes, ,Yes,Yes,Yes,Yes,Please call,Please call,Yes,Community Health Center-FQHC,Private Non-Profit, ,,Provider Specialist or Human Resources,202-715-7900,Aalleyne@Unityhealthcare.org,Yes,All, ,Yes,Yes,Yes,Yes,Yes, , ,Yes,Yes,Yes, , , ,Community Health Center - FQHC, , , , , ,Yes, , , , , , , ,Yes, , , , , ,Yes,Yes, ,Yes, ,Yes, ,Yes, ,Yes, ,Dental, ,Yes, , , ,Yes,"Yes, by phone", , ,Yes,varies,,9:00 AM - 12:00 PM,9:00 AM - 12:00 PM,9:00 AM - 12:00 PM,9:00 AM - 12:00 PM,,,Yes,Yes, , , , , , , , ,PC_44,No,"General Surgery, Oral Surgery, Primary Care, Psychiatry, Reproductive Health, STI Testing",NW,2F,,JLAY,2022/09/22 16:02:31+00,JLAY,2022/09/22 16:02:31+00,298405
-8571629.61440312,4708262.11705959,Planned Parenthood - Carol Whitehill Moses Center,1225 4TH STREET NE,WASHINGTON,DC,6,202-347-8500 ,,,,,,https://www.plannedparenthood.org/health-center/district-of-columbia/washington/20002/,010602,,,,,Yes,,Yes,Yes,Yes,,"Yes, Please Call","Yes, Please Call",Yes,Other - Planned Parenthood,Private Non-Profit,,,2016/10/05 00:00:00+00,Eva.Stern,ADD,PC_57,332,399977.74,137606.42,20002,20002,70908,,{548FE0F8-5F2F-4438-B4D6-D8C108349B82},JLAY,2022/09/22 15:59:52+00,JLAY,2022/09/22 15:59:52+00,348,Yes,,Yes,Yes,Yes,<Null>,"Yes, please call","Yes, please call",Yes,Other - Planned Parenthood,Private Non-Profit,,,Renee McRae,202-347-8500 ext. 7232,renee.mcraw@ppmw.org,Yes,All,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,See Worksheet,,Other - Planned Parenthood,,,,,,,,,,,,,,,,,,,,Limited,,,Family Planning,,STI Testing,,,Yes,,Yes,"Medical: Primary Care (Limited), Reproductive Health, STI Test/Treatment;
Other: Health Ed/Nutrition, Pharmacy
Medical: Primary Care (Limited), Reproductive Health, STI Test/Treatment;
Other: Health Ed/Nutrition, Pharmacy",,,,,,Yes,"Yes, by phone",,,Yes,,,8:00 AM - 6:30 PM,8:00 AM - 6:30 PM,8:00 AM - 4:30 PM,8:00 AM - 4:30 PM,8:00 AM - 5:30PM ,8:00 AM - 5:30PM ,Yes,Yes,,,,,,,,,PC_57,"Yes, limited","Primary Care (Limited), Reproductive Health, STI Test/Treatment",NE,6C,,JLAY,2022/09/22 16:02:31+00,JLAY,2022/09/22 16:02:31+00,70908
-8573087.24664132,4708128.1680929,Providence Hospital's Perry Family Health Center,128 M STREET NW,WASHINGTON,DC,6,202-682-3840, , , , , ,https://healthcare.ascension.org/locations/district-of-columbia/dcwas/washington-providence-health-services-center-for-g,004704, , ,Yes, ,Yes, ,Yes,Yes,Yes,Yes,Yes,Private insurance is also accepted,Yes, ,Private Non-Profit, ,,,,,PC_25,333,398841.99,137502.56,20001,20001,279016,,{80E115C1-DB1A-4520-BA49-AF40C4BBFB25},JLAY,2022/09/22 15:59:52+00,JLAY,2022/09/22 15:59:52+00,321,Yes, ,Yes,Yes,Yes,Yes,"Yes, please call","Yes, please call",Yes, ,Private Non-Profit, ,, , , ,Yes,All,Yes,Yes,Yes,Yes,Yes,Yes,Yes, ,Yes,Yes,Yes,Yes,See Worksheet, , ,Hospital-Affiliated Clinic, , , , , , , , , , , , , , , , ,Yes, ,Yes,Yes, ,Yes, , , , ,Yes,Yes, ,"Health Ed/Nutrition, Mental Health", , , , , ,Yes,"Yes, by phone", , ,Yes, ,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,,, ,Yes, , , , , , , , ,PC_25,Yes,"Pediatrics, Primary Care, Psychiatry, Reproductive Health",NW,6E,,JLAY,2022/09/22 16:02:31+00,JLAY,2022/09/22 16:02:31+00,279016
-8570519.3795021,4702416.43783446,Children's Health Center - Anacostia,2101 MARTIN LUTHER KING JR AVENUE SE,WASHINGTON,DC,8,202-476-6900,,,,,,https://childrensnational.org/primary-care/anacostia,007503,,,,,,,,,,,,,,,,,,2020/03/13 00:00:00+00,geoffrey.hatchard,ADD,PC_58,334,400843.47,133070.34,20020,20020,278064,,{13B23F63-A23E-4D70-ADB5-74B9A9D0E04C},JLAY,2022/09/22 15:59:52+00,JLAY,2022/09/22 15:59:52+00,361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8:00 AM - 4:00 PM,8:00 AM - 4:00 PM,8:00 AM - 4:00 PM,8:00 AM - 4:00 PM,8:00 AM - 4:00 PM,,,,,,,,,,,,,PC_58,,,SE,8A,,JLAY,2022/09/22 16:02:31+00,JLAY,2022/09/22 16:02:31+00,278064
-8570628.22745712,4702133.41030732,Whitman Walker - Max Robinson Medical Center,2301 MARTIN LUTHER KING JR AVENUE SE,WASHINGTON,DC,8,202-797-3567, , , , , ,https://www.whitman-walker.org,007401, , ,Other, ,Yes, ,Yes,Yes,Yes,Yes,Yes,Private insurance is also accepted,Yes,"Community Health Center, FQHC Look-alike",Private Non-Profit, ,,,,,PC_52,335,400755.4,132854.3,20020,20020,48991,,{44D32E8F-F839-4374-98AD-23CC35C74324},JLAY,2022/09/22 15:59:52+00,JLAY,2022/09/22 15:59:52+00,346,Yes, ,Yes,Yes,Yes,Yes,"Yes, please call","Yes, please call",Yes,"Community Health Center, FQHC Look-alike",Private Non-Profit, ,, , , ,Yes,All, ,Yes,Yes,Yes,Yes,Yes,Yes, ,Yes,"Yes, if engaged with core service agency who accompanies the patient to the appointment.",Yes,Yes,Yes -See Worksheet, ,"Community Health Center, FQHC Look-alike", , , , , , , ,Yes, , , , , , , , , , , ,Yes,Yes, ,Yes, ,Yes, ,Yes - for their patients who also receive either medical or behavioral health services from one of their facilities.,Yes,Yes,Yes,"Dental, Health Ed/Nutrition, Mental Health, Addiction Counseling, Case Management,  Day treatment, HIV Testing, Legal Services  ", ,"Referrals/emergency assistance for Transportation, housing, Food.", ,For their patients., ,Yes,"Yes, by phone",appointments@whitman-walker.org, ,"Yes, limited to existing patients and newly diagnosed people with HIV.",Red Carpet is available on a first come first serve basis Monday-Friday 9:00 AM to 5:00 PM.  Red Carpet services means client registered for services - see either Public Benefits about insurance or medical adherence nurse to discuss HIV.,8:30 AM - 12:30 PM 1:30PM - 5:30 PM 1:30 PM - 5:00 PM,8:30 AM - 12:30 PM 1:30PM - 5:30 PM,1:30 PM - 12:00 AM,8:30 AM - 12:30 PM 1:30PM - 5:30 PM,8:30 AM - 12:30 PM 2:15PM - 5:30 PM,,,Yes, , , , , , , , , ,PC_52,No,"Infectious Disease, Primary Care, Psychiatry, Reproductive Health, STI Test/Treatment",SE,8A,,JLAY,2022/09/22 16:02:31+00,JLAY,2022/09/22 16:02:31+00,48991
-8569771.39298623,4702082.02066875,Unity - Anacostia Health Center,1500 GALEN STREET SE,WASHINGTON,DC,8,202-469-4699, , , , , ,https://www.unityhealthcare.org/,007503, , ,Yes, ,Yes,Homeless/Residential,Yes,Yes,Yes,Yes,Yes,Private insurance is also accepted,Yes,Community Health Center-FQHC,Private Non-Profit, ,,,,,PC_29,336,401423.11,132815.01,20020,20020,277592,,{3234EA00-8B05-4996-A8C1-5221022642B6},JLAY,2022/09/22 15:59:52+00,JLAY,2022/09/22 15:59:52+00,347,Yes, ,Yes,Yes,Yes,Yes,"Yes, please call","Yes, please call",Yes,Community Health Center-FQHC,Private Non-Profit, ,,Provider Specialist or Human Resources,202-715-7900,Aalleyne@Unityhealthcare.org,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes, ,Yes,Yes,Yes,Yes,Yes.,"Aetna, United, HealthCare, BC BC/BS", ,"Community Health Center, FQHC", , , , , , , ,Yes, , ,Yes, , , , , , ,Yes,Yes,Yes,Yes, ,Yes, ,Yes, ,Yes,Yes,Yes,Yes,"Dental, Health Ed/Nutrition, Mental Health, Pharmacy, WIC",Yes,Yes, , , ,Yes,"Yes, by phone", ,Through Website,Yes,"Next day walk-ins; M-Thur. - 5:00 - 8:00 pm; Saturday 8: AM - 2 PM",8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,,English, , , , , , , , , ,PC_29,Yes,"Infectious Disease, Obstetrics, Pedicatrics, Podiatry, Primary Care, Psychiatry, Reproductive Health, STI Test/Treatment",SE,8A,,JLAY,2022/09/22 16:02:31+00,JLAY,2022/09/22 16:02:31+00,277592
-8571014.2322859,4700307.00366229,Unity - 801 East Health Center,2700 MARTIN LUTHER KING JR AVENUE SE,WASHINGTON,DC,8,202-508-0500, , , , , ,https://www.unityhealthcare.org/,010400, , ,Yes, ,Yes,Homeless/Residential,Yes, ,Yes,Yes, , ,Yes,Community Health Center-FQHC,Private Non-Profit, ,,,,,PC_28,337,400457.58,131430.9,20032,20032,301562,,{562D685F-9B5B-4C1D-82A4-0AEF003CE07E},JLAY,2022/09/22 15:59:52+00,JLAY,2022/09/22 15:59:52+00,334,Yes, ,Yes,Yes,Yes,Yes,Please call,Please call,Yes,Community Health Center-FQHC,Private Non-Profit, ,,Provider Specialist or Human Resources,202-715-7900,Aalleyne@Unityhealthcare.org,Yes,All, ,Yes,Yes,Yes,Yes,Yes, , ,Yes,Yes,Yes, , , ,"Community Health Center, FQHC", , , , , ,Yes, , , , , , , ,Yes, , , , , ,Yes,Yes, ,Yes, ,Yes, ,Yes, ,Yes, ,"Dental, Health Ed/Nutrition", ,Yes, , , ,Yes,"Yes, by phone", , ,Yes, ,8:00 AM - 12:00 PM  5:00 PM - 9:00 PM,8:00 AM - 12:00 PM  5:00 PM - 9:00 PM,8:00 AM - 12:00 PM  5:00 PM - 9:00 PM,8:00 AM - 12:00 PM  5:00 PM - 9:00 PM,8:00 AM - 12:00 PM  5:00 PM - 9:00 PM,,,Yes,Yes, , , , , , , , ,PC_28,Yes,"General Surgery, Oral Surgery, Primary Care, Psychiatry, Reproductive Health, STI Testing",SE,8C,,JLAY,2022/09/22 16:02:31+00,JLAY,2022/09/22 16:02:31+00,301562
-8569446.45747248,4700104.50070062,Unity - Stanton Road Health Center,3240 STANTON ROAD SE,WASHINGTON,DC,8,202-469-4699, , , , , ,https://www.unityhealthcare.org/,007404, , ,Yes, ,Yes,Homeless/Residential,Yes,Yes,Yes,Yes,Yes,Private insurance is also accepted,Yes,Community Health Center-FQHC,Private Non-Profit, ,,,,,PC_48,338,401680.65,131271.97,20020,20020,156534,,{C7CC0D52-1B70-409F-9A31-EE47C8B963BB},JLAY,2022/09/22 15:59:52+00,JLAY,2022/09/22 15:59:52+00,354,Yes, ,Yes,Yes,Yes,Yes,"Yes, please call","Yes, please call",Yes,Community Health Center-FQHC,Private Non-Profit, ,,Provider Specialist or Human Resources,202-715-7900,AAlleyne@UnityHealthCare.org,Yes,All,Yes,Yes,Yes,Yes,Yes,Yes,Yes, ,Yes,Yes,Yes,Yes,Blue Cross- All plans, ,Community Health Center - FQHC, , , , , , , , , , ,Yes, , , , , , , , ,Yes, , ,Yes, ,Yes, , ,Yes, , ,Health Ed/Nutrition, , , , , ,Yes,"Yes, by phone",Yes,Yes,Yes,Limited in the AM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes, ,All languages through the language line, ,PC_48,No,"Obstetrics, Primary Care, Reproductive Health, STI Test/Treatment",SE,8C,,JLAY,2022/09/22 16:02:31+00,JLAY,2022/09/22 16:02:31+00,156534
-8568853.88734282,4699288.29432966,Children's Health Center - THE ARC,1901 MISSISSIPPI AVENUE SE,WASHINGTON,DC,8,202-436-3060, , , , , ,https://www.childrenshealthfund.org,007409, , ,Yes, ,No,Children and Adolescents,Yes, ,Yes, ,Yes, ,Yes, ,Private Non-Profit, ,,,,,PC_08,339,402142.37,130640.01,20020,20020,295845,,{3C2EB262-0BFF-46D7-9EE6-735D30A305FD},JLAY,2022/09/22 15:59:52+00,JLAY,2022/09/22 15:59:52+00,356,No,Children and Adolescents,Yes,Yes,Yes, ,"Yes, please call","Yes, please call",Yes, ,Private Non-Profit, ,, , , ,No,Children and Adolescents,Yes, ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes, , , , ,Hospital-Affiliated Clinic, , , , , , , , , , , , , , , , ,Yes, ,Yes, , , , , , , ,Yes,Yes, ,"Health Ed/Nutrition, Mental Health, WIC",Yes, , ,Yes, ,Yes,"Yes, by phone", ,www.childrensnational.org/RequestAppointment/,Yes,during clinic hours,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 4:00 PM,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes, , ,PC_08,No,"Pediatrics, Primary Care",SE,8E,,JLAY,2022/09/22 16:02:31+00,JLAY,2022/09/22 16:02:31+00,295845
-8572568.71864908,4697532.77082049,Community of Hope - Conway Health and Resource Center,4 ATLANTIC STREET SW,WASHINGTON,DC,8,202-540-9857,,,,,,"https://www.communityofhopedc.org
",009807,,,,,Yes,No,Yes,Yes,Yes,Yes,Yes,"Yes, except Kaiser
",Yes,"Community Health Center-FQHC
","Non-Profit 
",,,,,,PC_54,340,399243.33,129263.18,20032,20032,309361,,{E3241E5F-BABC-4348-BBE6-508805E1110E},JLAY,2022/09/22 15:59:52+00,JLAY,2022/09/22 15:59:52+00,357,Yes ,No,Yes,Yes,Yes ,Yes ,Yes,"Yes, except Kaiser",Yes ,Community Health Center-FQHC,Non-Profit ,,,,,,Yes,All ,Yes ,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,No,Yes,Yes,"Medicaid, Alliance, Trusted Health Plan, MedStar, Amerihealth Plan, AETNA, Cigna, Carefirst BlueCross BlueShield",Kaiser ,,,No,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,No,N/A ,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,"Infectious Disease, Primary Care, Pediatrics, Reproductive Health, Psychiatry, Podiatry, Obstetrics, Opthalmology, STI Test/Treatment, Dental, Social Services, Health Ed./Nutrition, HIV/AIDS Care ",,,,,,,,,,Yes,,8:30 AM - 5:00 PM,8:30 AM - 5:00 PM,8:30 AM - 5:00 PM,8:30 AM - 5:00 PM,8:30 AM - 5:00 PM,9:00 AM - 3:30 PM,,Yes,Yes,,,Yes,No,No,No,No,,PC_54,Yes ,"Primary Care, Pediatrics, Reproductive Health, Psychiatry, Podiatry, Obstetrics, STI Test/Treatment, Dental, Social Services, Health Ed./Nutrition, Infectious Disease, HIV/AIDS Care ",SW,8D,No,JLAY,2022/09/22 16:02:31+00,JLAY,2022/09/22 16:02:31+00,309361
-8579981.3970661,4709104.34214434,Georgetown Hospital's Physicians Group,3800 RESERVOIR ROAD NW,WASHINGTON,DC,2,202-342-2400, , , , , ,https://www.medstarhealth.org/locations/medstar-georgetown-university-hospital,000201, , ,No, ,Yes, ,Yes, ,Yes,Yes,Yes,Private insurance is also accepted,Yes, ,Private Non-Profit, ,,,,,PC_13,341,393468.94,138241.62,20007,20007,291547,,{B0E5E683-6B8F-498C-8FCF-2E61ECE33B75},JLAY,2022/09/22 15:59:52+00,JLAY,2022/09/22 15:59:52+00,339,Yes, ,Yes,Yes,Yes,Yes,"Yes, please call","Yes, please call",Yes, ,Private Non-Profit, ,, , , ,Yes,All,Yes,Yes, ,Yes,Yes,Yes,Yes, ,Yes,Yes,Yes, ,See Worksheet, , ,Hospital-Affiliated Clinic,Yes, ,Yes,Yes, ,Yes,Yes,Yes,Yes,Yes,Yes, ,Yes, ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes, ,Yes, , , ,Yes,Pharmacy, , , , , ,Yes,"Yes, by phone", , ,No, ,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,Yes,Yes, , , , ,Yes,Yes,"Arabic, Portuguese", ,PC_13,No,"Cardiology, Endocrinology, Gastroenterology, HIV/AIDS Care, Infectious Disease, Nephrology, Neurology, Obstetrics, Oncology, Oral Surgery, Orthopedic, Pediatrics, Podiatry, Primary Care, Psychiatry, Pulmonary, Reproductive Health, Rheumatology, Urology",NW,2E,,JLAY,2022/09/22 16:02:31+00,JLAY,2022/09/22 16:02:31+00,291547
-8573732.59669723,4707404.80144918,Unity - Patricia Handy Place,810 5TH STREET NW,WASHINGTON,DC,2,202-508-0500,,,,,,https://www.unityhealthcare.org,005801,,,,,,,,,,,,,,,,,,2020/03/13 00:00:00+00,geoffrey.hatchard,ADD,PC_59,342,398337.21,136945.51,20001,20001,218764,,{8C1A1512-956B-4657-9CD1-1E524AD278A5},JLAY,2022/09/22 15:59:52+00,JLAY,2022/09/22 15:59:52+00,362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7:00 AM - 3:30 PM 5:00 PM - 9:00 PM,7:00 AM - 3:30 PM,7:00 AM - 3:30 PM 5PM - 9:00 PM,7:00 AM - 3:30 PM,7:00 AM - 3:30 PM,,,,,,,,,,,,,PC_59,,,NW,2C,,JLAY,2022/09/22 16:02:31+00,JLAY,2022/09/22 16:02:31+00,218764
-8580577.47018028,4714708.6217415,Unity - Friendship Place Health Center,4713 WISCONSIN AVENUE NW,WASHINGTON,DC,3,202-508-0500, , , , , ,https://www.unityhealthcare.org/,001100, , ,Yes, ,Yes,Homeless/Residential,Yes, ,Yes,Yes, , ,Yes,Community Health Center-FQHC,Private Non-Profit, ,,,,,PC_39,343,393010.31,142610.41,20016,20016,274422,,{849D2BFA-48A5-4416-8089-ABD2A95D30AF},JLAY,2022/09/22 15:59:52+00,JLAY,2022/09/22 15:59:52+00,335,Yes, ,Yes,Yes,Yes,Yes,Please call,Please call,Yes,Community Health Center-FQHC,Private Non-Profit, ,,Provider Specialist or Human Resources,202-715-7900,Aalleyne@Unityhealthcare.org,Yes,All, ,Yes,Yes,Yes,Yes,Yes, , ,Yes,Yes,Yes, , , ,Community Health Center - FQHC, , , , , ,Yes, , , , , , , ,Yes, , , , , ,Yes,Yes, ,Yes, ,Yes, ,Yes, ,Yes, ,"Dental, Mental Health", ,Yes, , , ,Yes,"Yes, by phone", , ,Yes,varies,1:00 PM - 4:30 PM,,,,,,,Yes,Yes, , , , , , , , ,PC_39,No,"General Surgery, Oral Surgery, Primary Care, Psychiatry, Reproductive Health, STI Testing",NW,3E,,JLAY,2022/09/22 16:02:31+00,JLAY,2022/09/22 16:02:31+00,274422
