X,Y,NAME,ADDRESS,USE_TYPE,WARD_ID,SCHOOL_SITE,POOL,POOL_NAME,WEB_URL,PHONE,STATUS,FITNESS_CENTER,XCOORD,YCOORD,MAR_ID,GIS_ID,OBJECTID,GLOBALID,CREATOR,CREATED,EDITOR,EDITED
-8575406.51837918,4710877.96912655,Columbia Heights CC Spray Park,1480 GIRARD STREET NW,SPRAY PARK,1,no,spray park,Columbia Heights Spray Park,https://dpr.dc.gov/page/spray-parks,(202) 671-0373,Open,No,397035.6720625,139636.6109375,310264,RecPt_11,1611,{8868F51F-4D98-4EAE-A60C-670AC4B4009E},JLAY,2022/08/11 23:34:41+00,JLAY,2022/08/11 23:34:41+00
-8569126.29426153,4700581.58884361,Douglass Community Center,1922 FREDERICK DOUGLASS COURT SE,RECREATION CENTER,8,no,outdoor,Douglass Pool,https://dpr.dc.gov/page/douglass-community-center-00,(202) 645-3980,Open,No,401929.68925,131644.3605,314542,RecPt_12,1612,{074B3834-9134-4D99-BCF6-0323F13BCD13},JLAY,2022/08/11 23:34:41+00,JLAY,2022/08/11 23:34:41+00
-8571250.60977716,4697670.61972964,Ferebee-Hope Recreation Center,700 YUMA STREET SE,RECREATION CENTER,8,Ferebee-Hope Elementary School,indoor,Ferebee Hope Pool,https://dpr.dc.gov/page/ferebee-hope-recreation-center,(202)-788-2279,Open,No,400273.33,129383.22,294588,RecPt_13,1613,{F762A620-D31C-40C2-A140-F5E838DCC221},JLAY,2022/08/11 23:34:41+00,JLAY,2024/08/27 17:28:57+00
-8571482.06659656,4698316.27644812,Oxon Run Pool,501 MISSISSIPPI AVENUE SE,POOL,8,no,outdoor,Oxon Run Pool,https://dpr.dc.gov/page/oxon-run-pool-01,(202) 645-5042,Open,No,400092.7939375,129884.743625,310268,RecPt_14,1614,{A7D38933-0AC5-452A-88DB-BDC06D7D2961},JLAY,2022/08/11 23:34:41+00,JLAY,2022/08/11 23:34:41+00
-8572206.34958089,4708335.17681322,DPR Central Office,1275 1ST STREET NE,OFFICE,1,no,none,none,https://dpr.dc.gov/page/dpr-headquarters-relocation,(202) 673-7647,Open,No,399528.3720625,137663.127875,303729,RecPt_15,1615,{6B092574-8A7D-46AA-A545-88D3191F9FDA},JLAY,2022/08/11 23:34:41+00,JLAY,2022/08/11 23:34:41+00
-8571270.28086527,4705439.96291974,William H. Rumsey Aquatic Center,635 NORTH CAROLINA AVENUE SE,AQUATIC CENTER,6,no,indoor,William H. Rumsey Aquatic Facility,https://dpr.dc.gov/page/william-h-rumsey-aquatic-center,(202) 724-4495,Open,No,400257.791,135416.14,295159,RecPt_16,1616,{4CEC76F6-F6F5-4AAF-BC60-833C4FB0A759},JLAY,2022/08/11 23:34:41+00,JLAY,2022/08/11 23:34:41+00
-8575041.46999877,4717444.24207021,Fort Stevens RC Spray Park,1327 VAN BUREN STREET NW,SPRAY PARK,4,,spray park,none,https://dpr.dc.gov/page/spray-parks,(202) 541-3754,Open,No,397321.75575,144728.9984375,290152,RecPt_17,1617,{90961E65-9C2A-42B5-879E-2DCFE76AAB52},JLAY,2022/08/11 23:34:41+00,JLAY,2024/03/08 00:55:28+00
-8579626.51626189,4710508.61407917,Guy Mason RC Spray Park,3600 CALVERT STREET NW,SPRAY PARK,3,,spray park,none,https://dpr.dc.gov/page/spray-parks,(202) 727-7527,Open,No,393748.21825,139351.9743125,295826,RecPt_18,1618,{DF2916F3-5BB4-4738-A32E-240C85DB208F},JLAY,2022/08/11 23:34:41+00,JLAY,2024/03/08 00:55:28+00
-8562954.66354731,4706898.97301902,H.D. Woodson Aquatic Center,540 55TH STREET NE,AQUATIC CENTER,7,,indoor,none,https://dpr.dc.gov/page/hd-woodson-aquatic-center,(202) 673-2097,Open,No,406737.85,136551.42,309633,RecPt_19,1619,{CFDFD9CE-2E3C-4461-97A9-96203F6D8903},JLAY,2022/08/11 23:34:41+00,JLAY,2024/03/08 00:55:28+00
-8574984.43256697,4709910.97692885,Harrison RC Spray Park,1330 V STREET NW,SPRAY PARK,1,,spray park,none,https://dpr.dc.gov/page/spray-parks,(202) 673-7760,Open,No,397364.2116875,138886.2673125,283986,RecPt_20,1620,{64C631A5-F624-417E-8F5D-3968B96E66CE},JLAY,2022/08/11 23:34:41+00,JLAY,2024/03/08 00:55:28+00
-8567408.86837229,4701378.51302826,Hillcrest RC Spray Park,3100 DENVER STREET SE,SPRAY PARK,7,,spray park,none,https://dpr.dc.gov/page/spray-parks,(202) 645-9200,Open,No,403268.598375,132263.6488125,296174,RecPt_21,1621,{D98B4C0E-FCEF-474B-B9BF-0FF01479231A},JLAY,2022/08/11 23:34:41+00,JLAY,2024/03/08 00:55:28+00
-8570294.48457203,4707834.08142846,Joseph H. Cole RC Spray Park,1299 NEAL STREET NE,SPRAY PARK,5,,spray park,none,https://dpr.dc.gov/page/spray-parks,(202) 442-9262,Open,No,401018.0675625,137274.3235625,294512,RecPt_22,1622,{E4DD00EE-E1FA-45C5-8C6B-D72588474275},JLAY,2022/08/11 23:34:41+00,JLAY,2024/03/08 00:55:28+00
-8573986.37790184,4708715.69676385,Kennedy RC Spray Park,1401 7TH STREET NW,SPRAY PARK,2,,spray park,none,https://dpr.dc.gov/page/spray-parks,(202) 671-4794,Open,No,398141.5169375,137958.6070625,279127,RecPt_23,1623,{7CAB5DF0-14F7-488C-B1BE-F043562327D3},JLAY,2022/08/11 23:34:41+00,JLAY,2024/03/08 00:55:28+00
-8572979.27436019,4703776.6164662,King Greenleaf RC Spray Park,201 N STREET SW,SPRAY PARK,6,,spray park,none,https://dpr.dc.gov/page/spray-parks,(202) 645-7454,Open,No,398925.6605,134124.997875,52917,RecPt_24,1624,{CFC7855E-4D27-4BA1-8DE4-FA2CA543341B},JLAY,2022/08/11 23:34:41+00,JLAY,2024/03/08 00:55:28+00
-8579085.15637489,4712170.88682066,Macomb RC Spray Park,3409 MACOMB STREET NW,SPRAY PARK,3,,spray park,none,https://dpr.dc.gov/page/spray-parks,(202) 282-2199,Open,No,394191.58,140648.83,221115,RecPt_25,1625,{FD582CBD-F4B0-49DC-8AA0-A6AD45EDC749},JLAY,2022/08/11 23:34:41+00,JLAY,2024/08/26 23:21:52+00
-8576112.81928736,4710100.70241563,Happy Hollow Children's Pool,2200 CHAMPLAIN STREET NW,POOL,1,Marie Reed Learning Center,child,Happy Hollow Children's Pool,https://dpr.dc.gov/node/1598791,(202) 671-1289,Open,No,396485.221,139033.81,235577,RecPt_26,1626,{E543A944-8E98-4C19-BDEF-0CD0CFD96532},JLAY,2022/08/11 23:34:41+00,JLAY,2022/08/11 23:34:41+00
-8566956.087522,4710818.46996315,Theodore Hagans Pool,3201 FORT LINCOLN DRIVE NE,POOL,5,no,outdoor,Theodore Hagans Pool,https://dpr.dc.gov/page/theodore-hagans-pool,(202) 576-3019,Open,No,403618.2779375,139590.7230625,295140,RecPt_27,1627,{94657347-1565-4ADF-86DE-778D2F5AF233},JLAY,2022/08/11 23:34:41+00,JLAY,2022/08/11 23:34:41+00
-8570777.2824393,4712804.76510896,Turkey Thicket Aquatic Center,1100 MICHIGAN AVENUE NE,AQUATIC CENTER,5,no,indoor,Turkey Thicket Aquatic Center,https://dpr.dc.gov/page/turkey-thicket-aquatic-center,(202) 576-9236,Open,No,400641.561,141130.75,74603,RecPt_28,1628,{3664418C-1836-4983-9DE6-2E017F10B1B3},JLAY,2022/08/11 23:34:41+00,JLAY,2022/08/11 23:34:41+00
-8566956.09811701,4710817.75587045,Theodore Hagans Cultural Center,3201 FORT LINCOLN DRIVE NE,RECREATION CENTER,5,no,outdoor,Theodore Hagans Pool,https://dpr.dc.gov/page/theodore-hagans-cultural-center,(202) 576-3017,Closed,No,403618.26975,139590.16875,295140,RecPt_29,1629,{9A6D71C7-5E4C-4EE7-88C3-1A8D3DF157B2},JLAY,2022/08/11 23:34:41+00,JLAY,2024/08/27 17:28:57+00
-8572476.92419866,4709359.35811308,Harry Thomas Recreation Center,1743 LINCOLN ROAD NE,RECREATION CENTER,5,no,outdoor,Harry Thomas Pool,https://dpr.dc.gov/harrythomas,(202) 576-5642,Open,No,399317.62,138457.86,296786,RecPt_30,1630,{90C4656E-4F9F-406C-A655-9FA15CD3C4F3},JLAY,2022/08/11 23:34:41+00,JLAY,2024/08/27 17:28:57+00
-8573013.85701606,4708449.5543123,Dunbar Aquatic Center,101 N STREET NW,AQUATIC CENTER,5,Dunbar Senior High School,indoor,Dunbar Aquatic Center,https://dpr.dc.gov/page/dunbar-aquatic-center,(202) 724-5328,Open,No,398899.20825,137751.9464375,309947,RecPt_31,1631,{D5299095-D732-48A7-8898-7FC8C8133B4D},JLAY,2022/08/11 23:34:41+00,JLAY,2022/08/11 23:34:41+00
-8568658.49586284,4711227.24093065,Langdon Park Pool,2860 MILLS AVENUE NE,POOL,5,no,outdoor,Langdon Park Pool,https://dpr.dc.gov/page/langdon-park-pool,(202) 576-8655,Open,No,402291.86,139907.77,310266,RecPt_32,1632,{A14C4F1C-2920-4F9B-96B2-8DE458DA33D1},JLAY,2022/08/11 23:34:41+00,JLAY,2024/08/26 23:21:52+00
-8579058.16912328,4712180.65404396,Macomb Recreation Center,3409 MACOMB STREET NW,RECREATION CENTER,3,no,none,none,https://dpr.dc.gov/page/macomb-recreation-center-00,(202) 282-2199,Open,No,394191.58,140648.83,221115,RecPt_33,1633,{53D19E4B-355C-466A-801C-BB5DA355F5AB},JLAY,2022/08/11 23:34:41+00,JLAY,2024/08/26 23:21:52+00
-8581061.04371053,4708775.16399846,Hardy Recreation Center,4500 Q STREET NW,RECREATION CENTER,3,no,none,none,https://dpr.dc.gov/page/hardy-recreation-center-00,(202) 282-2190,Open,No,392629.48,138007.964,284929,RecPt_34,1634,{4BE0CE84-1B38-45DF-A4AA-57155351D925},JLAY,2022/08/11 23:34:41+00,JLAY,2022/08/11 23:34:41+00
-8581427.29871362,4713479.80793156,Friendship Spray Park,4500 VAN NESS STREET NW,SPRAY PARK,3,no,spray park,Friendship Rec Center Spray Park,https://dpr.dc.gov/page/spray-parks,(202) 282-2198,Open,No,392347.651,141658.007,295150,RecPt_35,1635,{AC116FF9-E1C7-4D7C-9367-6B4E5A46CE87},JLAY,2022/08/11 23:34:41+00,JLAY,2022/08/11 23:34:41+00
-8583173.40668246,4710908.3946423,Palisades Spray Park,5200 SHERIER PLACE NW,SPRAY PARK,3,no,spray park,Palisades Community Center Spray Park,https://dpr.dc.gov/page/spray-parks,(202) 282-2186,Open,No,390985.571,139664.793,268352,RecPt_36,1636,{2C01CF78-72FD-4838-BE6C-DA828726CD9A},JLAY,2022/08/11 23:34:41+00,JLAY,2022/08/11 23:34:41+00
-8579532.94888567,4713140.62224318,Hearst Recreation Center,3950 37TH STREET NW,RECREATION CENTER,3,Hearst Elementary School,none,none,https://dpr.dc.gov/page/hearst-recreation-center,(202) 282-2207,Open,No,393822.7,141393.64,294586,RecPt_37,1637,{4CF0470B-F6A3-4963-8F3B-6DFD36B30457},JLAY,2022/08/11 23:34:41+00,JLAY,2022/08/11 23:34:41+00
-8583241.14253944,4710859.59299934,Palisades Community Center,5200 SHERIER PLACE NW,RECREATION CENTER,3,no,none,none,https://dpr.dc.gov/page/palisades-community-center,(202) 545-7201,Open,Fitness Room,390932.76425,139626.992625,268352,RecPt_38,1638,{96451F9B-3E36-4344-85B7-21578C39CB07},JLAY,2022/08/11 23:34:41+00,JLAY,2022/08/11 23:34:41+00
-8580276.30915179,4714410.19010411,Wilson Aquatic Center,4551 FORT DRIVE NW,AQUATIC CENTER,3,Woodrow Senior High School,indoor,Wilson Aquatic Center,https://dpr.dc.gov/page/wilson-aquatic-center-01,(202) 730-0583,Open,No,393244.618,142378.766,307826,RecPt_39,1639,{59E1CBB5-AE3D-4653-A78E-95D8B6D76408},JLAY,2022/08/11 23:34:41+00,JLAY,2024/08/26 21:44:49+00
-8579962.2828715,4716683.40604473,Chevy Chase Community Center,5601 CONNECTICUT AVENUE NW,RECREATION CENTER,3,no,none,none,https://dpr.dc.gov/page/chevy-chase-community-center,(202) 282-2204,Open,Fitness Room,393490.5989375,144141.3213125,263959,RecPt_40,1640,{54590183-3340-43C9-97B0-7AE7F119CDE9},JLAY,2022/08/11 23:34:41+00,JLAY,2022/08/11 23:34:41+00
-8580590.52912296,4716439.86774524,Chevy Chase Playground,5500 41ST STREET NW,RECREATION CENTER,3,no,none,none,https://dpr.dc.gov/page/chevy-chase-recreation-center,(202) 282-2200,Closed,No,393001.33,143952.91,264727,RecPt_41,1641,{206BAA85-DD4E-4860-B4CE-D630BE3A53B6},JLAY,2022/08/11 23:34:41+00,JLAY,2024/08/27 19:52:38+00
-8581406.17924741,4713431.55643331,Friendship Recreation Center,4500 VAN NESS STREET NW,RECREATION CENTER,3,no,none,none,https://dpr.dc.gov/page/friendship-recreation-center,(202) 282-2198,Open,No,392364.061625,141620.567125,295150,RecPt_42,1642,{0F232DC5-8348-43C2-A9CC-CB17C1246AF6},JLAY,2022/08/11 23:34:41+00,JLAY,2022/08/11 23:34:41+00
-8579526.79183454,4710527.5022801,Guy Mason Community Center,3600 CALVERT STREET NW,RECREATION CENTER,3,no,none,none,https://dpr.dc.gov/page/guy-mason-community-center,(202) 727-7527,Open,No,393825.91400001,139366.567,295826,RecPt_43,1643,{53B64773-2939-4C24-81F5-128F2EDA4FD3},JLAY,2022/08/11 23:34:41+00,JLAY,2023/02/01 23:59:02+00
-8575070.42838839,4717414.18340279,Fort Stevens Recreation Center,1327 VAN BUREN STREET NW,RECREATION CENTER,4,no,none,none,https://dpr.dc.gov/page/fort-stevens-recreation-center-00,(202) 541-3754,Open,Fitness Room,397299.20525,144705.70075,290152,RecPt_44,1644,{7B4DEB2B-C493-4DE3-A086-7B7FE8529D44},JLAY,2022/08/11 23:34:41+00,JLAY,2022/08/11 23:34:41+00
-8574701.19061824,4715749.22567717,Emery Heights Community Center,5701 GEORGIA AVENUE NW,RECREATION CENTER,4,no,none,none,https://dpr.dc.gov/page/emery-heights-community-center,(202) 576-3211,Open,Fitness Room,397586.25,143414.65,309352,RecPt_45,1645,{0C4B3C0F-5A64-4645-96CE-EC69E290A8DE},JLAY,2022/08/11 23:34:41+00,JLAY,2024/03/07 23:30:47+00
-8575089.78234037,4714887.80701078,Hamilton Recreation Center,1340 HAMILTON STREET NW,RECREATION CENTER,4,no,none,none,https://dpr.dc.gov/page/hamilton-recreation-center,(202) 576-6855,Open,No,397283.465625,142746.7481875,255042,RecPt_46,1646,{1BA56322-A294-4788-8C01-9883EEF6F603},JLAY,2022/08/11 23:34:41+00,JLAY,2022/08/11 23:34:41+00
-8572517.93222038,4717050.87952334,Lamond Recreation Center,20 TUCKERMAN STREET NE,RECREATION CENTER,4,no,none,none,https://dpr.dc.gov/page/lamond-recreation-center,(202) 576-9541,Open,Cardio Center,399286.21025,144423.595375,296166,RecPt_47,1647,{68D8C81B-4FE7-4573-8C64-443FA21560BF},JLAY,2022/08/11 23:34:41+00,JLAY,2022/08/11 23:34:41+00
-8570994.04644777,4698567.09763183,Southeast Tennis & Learning Center,701 MISSISSIPPI AVENUE SE,RECREATION CENTER,8,no,none,none,https://dpr.dc.gov/page/southeast-tennis-and-learning-center-setlc,(202) 645-6242,Open,Fitness Room,400473.401,130079.58,295830,RecPt_48,1648,{439B4FDB-30D9-419B-880A-D75146C081A7},JLAY,2022/08/11 23:34:41+00,JLAY,2022/08/11 23:34:41+00
-8574115.00229144,4710606.81625346,Banneker Community Center,2500 GEORGIA AVENUE NW,RECREATION CENTER,1,no,outdoor,Banneker Pool,https://dpr.dc.gov/page/banneker-community-center,(202) 673-6861,Open,No,398041.6646875,139425.93525,232292,RecPt_49,1649,{8243D660-31ED-4E2D-BF25-38F406D622A1},JLAY,2022/08/11 23:34:41+00,JLAY,2024/08/27 17:28:57+00
-8574972.78886415,4709926.94220668,Harrison Recreation Center,1330 V STREET NW,RECREATION CENTER,1,no,none,none,https://dpr.dc.gov/page/harrison-recreation-center,(202) 673-6865,Closed,No,397373.287,138898.651,283986,RecPt_50,1650,{28848E13-391C-4758-856D-AD64B11CF5F2},JLAY,2022/08/11 23:34:41+00,JLAY,2024/08/27 17:28:57+00
-8576539.75446183,4710322.44027111,Kalorama Recreation Center,1875 COLUMBIA ROAD NW,RECREATION CENTER,1,no,none,none,https://dpr.dc.gov/page/kalorama-recreation-center,(202) 673-7606,Open,No,396152.712,139206,284143,RecPt_51,1651,{712A96F4-D64A-4EDD-88C6-1F8A860CDDCE},JLAY,2022/08/11 23:34:41+00,JLAY,2022/08/11 23:34:41+00
-8573980.06890446,4712367.94336553,Park View Recreation Center,693 OTIS PLACE NW,RECREATION CENTER,1,no,walk to learn,Parkview Children's Pool,https://dpr.dc.gov/page/park-view-recreation-center,(202) 671-2186,Open,No,398147.095875,140792.1106875,295160,RecPt_52,1652,{48AF5ECE-89C0-4756-8E32-6E6457219623},JLAY,2022/08/11 23:34:41+00,JLAY,2023/02/01 23:55:33+00
-8574113.45771481,4710605.76226932,Banneker Pool,2500 GEORGIA AVENUE NW,POOL,1,no,outdoor,Banneker Pool,https://dpr.dc.gov/page/banneker-pool,(202) 673-2121,Open,No,398042.868,139425.117,232292,RecPt_53,1653,{87E79666-F33D-43D2-BD96-383A5B17CAE6},JLAY,2022/08/11 23:34:41+00,JLAY,2022/08/11 23:34:41+00
-8576112.81928736,4710100.70241563,Marie Reed Aquatic Center,2200 CHAMPLAIN STREET NW,AQUATIC CENTER,1,Reed Elementary School,indoor,Marie Reed Aquatic Center,https://dpr.dc.gov/page/marie-reed-aquatic-center,(202) 671-0297,Open,No,396485.221,139033.81,235577,RecPt_54,1654,{547342E4-88F2-4919-85AF-E22186DF4C3F},JLAY,2022/08/11 23:34:41+00,JLAY,2022/08/11 23:34:41+00
-8573980.60428859,4712367.85686466,Park View Children's Pool,693 OTIS PLACE NW,POOL,1,no,child,Parkview Children's Pool,https://dpr.dc.gov/page/park-view-childrens-pool-1,(202) 576-8658,Open,No,398146.6785,140792.0444375,295160,RecPt_55,1655,{17C00899-788E-4B8D-B818-A4999040461C},JLAY,2022/08/11 23:34:41+00,JLAY,2022/08/11 23:34:41+00
-8575502.49631871,4710956.51113427,Columbia Heights Community Center,1480 GIRARD STREET NW,RECREATION CENTER,1,no,none,none,https://dpr.dc.gov/page/columbia-heights-comm-ctr,(202) 671-0373,Open,Fitness Room,396960.9319375,139697.57175,284045,RecPt_56,1656,{C6FB9453-FD9D-4C9B-B0F0-0418D4B50537},JLAY,2022/08/11 23:34:41+00,JLAY,2022/08/11 23:34:41+00
-8576112.81928736,4710100.70241563,Marie Reed Community Center,2200 CHAMPLAIN STREET NW,RECREATION CENTER,1,Reed Elementary School,indoor,Marie Reed Aquatic Center,https://dpr.dc.gov/page/marie-reed-community-center,(202) 673-7768,Open,No,396485.221,139033.81,235577,RecPt_57,1657,{C2871612-C5F3-49A8-A72E-A2161441DCE9},JLAY,2022/08/11 23:34:41+00,JLAY,2022/08/11 23:34:41+00
-8568403.26225817,4709326.7470673,Arboretum Community Center,2412 RAND PLACE NE,RECREATION CENTER,5,no,none,none,https://dpr.dc.gov/page/arboretum-community-center-00,(202) 673-4507,Open,Fitness Room,402491.338,138432.919125,296167,RecPt_58,1658,{026CBD2E-A3F0-4A76-8FC6-DC1C68683C13},JLAY,2022/08/11 23:34:41+00,JLAY,2024/08/27 17:28:57+00
-8569701.51661333,4710363.41368675,Brentwood Recreation Center,2311 14TH STREET NE,RECREATION CENTER,5,no,none,none,https://dpr.dc.gov/page/brentwood-recreation-center,(202) 576-6667,Open,No,401479.740125,139236.9924375,286825,RecPt_59,1659,{45BED8D5-6C33-413B-8198-3B2BCFC3AE45},JLAY,2022/08/11 23:34:41+00,JLAY,2022/08/11 23:34:41+00
-8571808.07626965,4710918.63629327,Edgewood Recreation Center,301 FRANKLIN STREET NE,RECREATION CENTER,5,no,none,none,https://dpr.dc.gov/page/edgewood-recreation-center-01,(202) 788-2204,Open,Fitness Room,399838.7306875,139667.6074375,289734,RecPt_60,1660,{2374A65C-797C-489F-A5DE-3E76B6449FA3},JLAY,2022/08/11 23:34:41+00,JLAY,2022/08/11 23:34:41+00
-8568906.03600536,4711196.32406173,Langdon Park Community Center,2901 20TH STREET NE,RECREATION CENTER,5,no,outdoor,Langdon Park Pool,https://dpr.dc.gov/page/langdon-park-community-center,(202) 654-6102,Open,No,402099.41,139883.09,287283,RecPt_61,1661,{56A0C717-D1B0-4105-8EC6-317D3D093D67},JLAY,2022/08/11 23:34:41+00,JLAY,2024/08/27 17:28:57+00
-8570092.81460045,4714485.67478905,North Michigan Park Recreation Center,1333 EMERSON STREET NE,RECREATION CENTER,5,no,none,none,https://dpr.dc.gov/page/north-michigan-park-recreation-center-0,(202) 541-3526,Open,Fitness Room,401174.4430625,142434.5100625,296163,RecPt_62,1662,{657ECD8C-BDB5-4AE7-9C6E-65C2720C5E4C},JLAY,2022/08/11 23:34:41+00,JLAY,2022/08/11 23:34:41+00
-8569680.44536678,4708280.15411477,Trinidad Recreation Center,1310 CHILDRESS STREET NE,RECREATION CENTER,5,no,none,none,https://dpr.dc.gov/page/trinidad-recreation-center,(202) 727-1293,Open,Fitness Room,401496.4604375,137620.5575625,68509,RecPt_63,1663,{7D9DDE00-3F40-482F-BBA1-65EF4DBDE6C4},JLAY,2022/08/11 23:34:41+00,JLAY,2022/08/11 23:34:41+00
-8570798.74398356,4712810.9242134,Turkey Thicket Recreation Center,1100 MICHIGAN AVENUE NE,RECREATION CENTER,5,no,indoor,Turkey Thicket Aquatic Center,https://dpr.dc.gov/page/turkey-thicket-recreation-center,(202) 576-9238,Open,Fitness Room,400624.8456875,141135.5258125,74603,RecPt_64,1664,{D29CEFA5-75FC-4DBC-9717-C6BEEF8C9895},JLAY,2022/08/11 23:34:41+00,JLAY,2022/08/11 23:34:41+00
-8575173.87489169,4711009.97153733,14th and Girard Street Spray Park,14TH STREET NW AND GIRARD STREET NW,SPRAY PARK,1,,spray park,none,https://dpr.dc.gov/page/spray-parks,,Open,No,397216.92875,139738.951875,308768,RecPt_65,1665,{78462475-7307-4E77-AA96-9B8D8D387353},JLAY,2022/08/11 23:34:41+00,JLAY,2024/03/08 00:54:38+00
-8575216.28949455,4711683.97545084,Columbia Heights Civic Plaza,14TH STREET NW AND PARK ROAD NW,SPRAY PARK,1,,spray park,none,https://dpr.dc.gov/page/spray-parks,,Open,No,397184.075625,140261.83225,310272,RecPt_66,1666,{E35E7614-7A68-4AF3-8D93-36AD1466C240},JLAY,2022/08/11 23:34:41+00,JLAY,2024/08/26 21:25:26+00
-8580603.30005707,4716417.56284119,Chevy Chase RC Spray Park,5500 41ST STREET NW,SPRAY PARK,3,,spray park,none,https://dpr.dc.gov/page/spray-parks,(202) 727-7714,Closed,No,392991.371,143935.6200625,264727,RecPt_67,1667,{D6168A7C-8015-43B9-A33B-9F29B76924EF},JLAY,2022/08/11 23:34:41+00,JLAY,2024/08/27 19:52:38+00
-8565534.88878016,4702936.18527923,Fort Davis CC Spray Park,1400 41ST STREET SE,SPRAY PARK,7,,spray park,none,https://dpr.dc.gov/page/spray-parks,(202) 645-9212,Open,No,404728.9991875,133473.853,295122,RecPt_68,1668,{B04605FB-3B80-4341-8CDF-0F7A54E28907},JLAY,2022/08/11 23:34:41+00,JLAY,2024/03/08 00:55:28+00
