X,Y,NAME,ADDRESS,LICENSE_NUMBER,LICENSE_TYPE,LICENSE_ISSUE_DATE,LICENSE_EXPIRATION_DATE,WARD,ZIPCODE,CONTACT_TYPE,EMAIL,PHONE,FAX_NUMBER,START_TIME,END_TIME,POINT_OF_CONTACT,OTHER_CONTACT_DESCRIPTION,C_O_HO_PERMIT_ISSUED_DATE,FIRE_INSPECTION_DATE,NUMBER_OF_INFANTS,NUMBER_OF_PRESCHOOL_CHILDREN,NUMBER_OF_TODDLERS,NUM_OF_SCHOOL_AGE_CHILDREN,AUTHORIZED_CAPACITY,INSPECTOR_ASSIGNED,LATITUDE,LONGITUDE,XCOORD,YCOORD,MAR_MATCHADDRESS,MARID,OBJECTID
-8574989.56533572,4707270.21502805,Bidkids Child Development Center,"1300  New York AVE, NW ",CDC-909162,Full License,2023/09/29 04:00:00+00,2026/09/30 04:00:00+00,2,20577,Center Director,RUTHR@IADB.ORG,(202) 623-3600,,,,Ruth Roman,,2017/01/26 05:00:00+00,2024/09/16 04:00:00+00,16,36,36,0,88,Makia.Tabourn@dc.gov,38.89938174,-77.03043958,397359.53,136837.11,1300 NEW YORK AVENUE NW,242919,140008
-8571170.57566223,4699632.50144236,Dawn To Dusk Child Development Center,657 Lebaum ST. SE ,CDC-909165,Full License,2023/08/18 04:00:00+00,2026/08/31 04:00:00+00,8,20032,Center Director,zmccraw@dawntoduskdc.com,(202) 562-6196,,,,Zabrina McCraw,,2020/08/18 04:00:00+00,2024/08/07 04:00:00+00,0,40,8,0,48,stephanie.tindal@dc.gov,38.84596571,-76.99613303,400335.69,130907.06,657 LEBAUM STREET SE,1206,140009
-8576361.66396561,4707501.02257279,World Bank Children's Center,"1850  I ST, NW ",CDC-909176,Full License,2024/03/01 05:00:00+00,2027/02/28 05:00:00+00,2,20433,Center Director,Kzieleniewski@worldbank.org,(202) 473-7010,,,,Katarzyna Teodozja Zieleniewski,,2010/10/01 04:00:00+00,2024/02/13 05:00:00+00,16,20,32,0,68,yesset.makonnen@dc.gov,38.90099566,-77.04276535,396290.42,137016.66,1850 I STREET NW,240965,140010
-8572973.91497391,4715424.07819442,"Loving Care Day Nursery, Inc.","114  Kennedy ST, NW ",CDC-909178,Full License,2023/10/02 04:00:00+00,2026/10/31 04:00:00+00,4,20011,Center Director,lovingcare114@gmail.com,(202) 882-5716,,,,Luzbella Nogar,,1999/12/15 05:00:00+00,2024/02/27 05:00:00+00,8,18,36,0,62,yesset.makonnen@dc.gov,38.95636362,-77.01233269,398931.06,143162.22,114 KENNEDY STREET NW,289381,140011
-8575876.25015102,4719497.3752565,Lowell School Inc,"1640 Kalmia RD, NW ",CDC-909347,Full License,2024/03/04 05:00:00+00,2026/12/31 05:00:00+00,4,20012,Center Director,nsviedrys@lowellschool.org,(202) 577-2000,,,,Nathalie Sviedrys,,1999/09/08 04:00:00+00,2023/09/13 04:00:00+00,0,59,16,0,75,kimberly.handon-lindsey@dc.gov,38.98481235,-77.0384048,396672.58,146320.89,1640 KALMIA ROAD NW,302442,140012
-8576093.25609195,4707590.28888492,Children First Inc. Of Washington DC,"1725 Eye ST, NW ",CDC-909441,Full License,2024/01/08 05:00:00+00,2026/12/31 05:00:00+00,2,20006,Center Director,dominick.fields@brighthorizons.com,(202) 466-6088,,,,Dominick Fields,,2001/10/02 04:00:00+00,2024/12/02 05:00:00+00,6,10,8,15,39,jazmin.hunt@dc.gov,38.90161972,-77.0403542,396499.6,137085.84,1725 I STREET NW,279349,140013
-8578840.94029768,4714153.28534222,The Franklin Montessori School,"4473 Connecticut  AVE, NW ",CDC-909495,Full License,2023/09/30 04:00:00+00,2026/09/30 04:00:00+00,3,20008,Center Director,director@franklinmontessori.com ,(202) 966-7747,,,,Mary Akatu-Speakman,,2012/08/13 04:00:00+00,2024/04/22 04:00:00+00,42,132,42,0,216,Makia.Tabourn@dc.gov,38.94748592,-77.06503706,394362.19,142178.65,4473 CONNECTICUT AVENUE NW,284925,140014
-8577085.49854768,4709621.15094824,"Kids Corner Daycare, Inc","2200  California ST, NW ",CDC-909531,Full License,2023/11/01 04:00:00+00,2026/11/30 05:00:00+00,2,20008,Center Director,kidscornerdcc@yahoo.com,(202) 797-1555,,,,Ingrid Elizabeth Ortega Perez,,2003/06/10 04:00:00+00,2024/08/26 04:00:00+00,14,42,24,0,80,yesset.makonnen@dc.gov,38.91581589,-77.04926767,395727.28,138662.11,2200 CALIFORNIA STREET NW,235042,140015
-8569751.50389451,4705191.58352065,Board Of Child Care,"308 15th ST, SE ",CDC-909552,Full License,2024/03/06 05:00:00+00,2026/02/28 05:00:00+00,7,20003,Center Director,mramirez@BoardofChildCare.org,(202) 291-3330,,,,Mayra Ramirez,,2018/03/23 04:00:00+00,2025/03/06 05:00:00+00,23,48,56,0,127,kanell.johnson@dc.gov,38.88484859,-76.98338529,401441.53,135223.47,308 15TH STREET SE,289433,140016
-8573479.91281145,4709141.50656825,Home Away From Home,"414  R ST, NW ",CDC-909575,Full License,2024/08/12 04:00:00+00,2026/12/31 05:00:00+00,5,20001,Owner/Director,hafhcdc15@gmail.com,(202) 986-4626,,,,Dorothy  Council,,2007/09/13 04:00:00+00,2023/10/18 04:00:00+00,10,40,10,0,60,jazmin.hunt@dc.gov,38.91246299,-77.01687815,398536.18,138288.93,414 R STREET NW,237354,140017
-8576086.56407697,4710905.32529057,David's Stars Child Development Center,"2711 Ontario RD, NW ",CDC-909576,Full License,2023/10/30 04:00:00+00,2026/10/31 04:00:00+00,1,20009,Owner/Director,davidstarscdc@gmail.com,(202) 891-9863,,,,Maria Naranjo Arias,,2004/04/07 04:00:00+00,2024/02/14 05:00:00+00,8,16,7,0,31,candia.faison@dc.gov,38.92479108,-77.04029409,396505.95,139658.05,2711 ONTARIO ROAD NW,235943,140018
-8571919.16007214,4705944.43958718,River Park Nursery School,"212  East Capitol ST, NE ",CDC-909590,Full License,2023/11/09 05:00:00+00,2026/10/31 04:00:00+00,6,20003,Other,erinecrouse@gmail.com,(202) 546-7767,,,,Erin Crouse,owner,2013/08/12 04:00:00+00,2023/08/31 04:00:00+00,0,15,0,0,15,kimberly.handon-lindsey@dc.gov,38.89011279,-77.00285767,399752.08,135807.71,212 EAST CAPITOL STREET NE,286648,140019
-8574666.53966661,4716608.52149295,Quickie Becky Child Care Dev,"6135  Georgia AVE, NW ",CDC-909622,Full License,2024/03/27 04:00:00+00,2027/02/28 05:00:00+00,4,20011,Center Director,beckyyilma@hotmail.com,(202) 882-1722,,,,Bekelech Yilma Delelegne,,2008/10/03 04:00:00+00,2024/01/18 05:00:00+00,21,83,72,0,176,Zulieka.Crawford@dc.gov,38.96463743,-77.02753779,397613.43,144080.94,6135 GEORGIA AVENUE NW,302600,140020
-8573988.9519694,4713479.20772942,Chantelle's Quality Child Care Center,"4221 7TH ST, NW ",CDC-909640,Full License,2024/03/04 05:00:00+00,2027/02/28 05:00:00+00,4,20011,Owner/Director,javonne332000@yahoo.com,(202) 291-0002,,,,Javonne Haynes,,2011/07/20 04:00:00+00,2024/09/16 04:00:00+00,4,13,20,13,50,Makia.Tabourn@dc.gov,38.94277672,-77.02145092,398140.38,141654.06,4221 7TH STREET NW,247500,140021
-8576832.67944626,4712096.37744162,Rosemount Center,"2000  Rosemount AVE, NW ",CDC-909649,Full License,2024/02/29 05:00:00+00,2026/12/31 05:00:00+00,1,20010,Center Director,croberts-njoku@rosemountcenter.com,(202) 265-9885,,,,Cornett Njoku,,2010/01/13 05:00:00+00,2022/06/28 04:00:00+00,18,89,56,0,163,jazmin.hunt@dc.gov,38.93311442,-77.04699655,395925.23,140582.29,2000 ROSEMOUNT AVENUE NW,234873,140022
-8564113.66984097,4704351.94453711,First Rock Baptist Child Development Center,"4638  H ST, SE ",CDC-909658,Full License,2024/04/22 04:00:00+00,2026/09/30 04:00:00+00,7,20019,Center Director,FRBCCDC@YAHOO.COM,(202) 575-5859,,,,Patricia Bodrick,,2006/09/11 04:00:00+00,2025/02/20 05:00:00+00,16,16,48,24,104,Makia.Tabourn@dc.gov,38.87897678,-76.93273978,405836.13,134573.71,4638 H STREET SE,300715,140023
-8570184.58669177,4707095.00530686,Northeast Stars Montessori Learning,"1325  Maryland AVE, NE ",CDC-909661,Full License,2025/03/04 05:00:00+00,2027/02/28 05:00:00+00,6,20002,Center Director,northeaststarsmontessori.nes@gmail.com,(615) 540-3166,,,,Angelica Jimenez,,2008/06/11 04:00:00+00,2024/02/28 05:00:00+00,0,26,12,0,38,Makia.Tabourn@dc.gov,38.89815715,-76.98727574,401103.78,136700.77,1325 MARYLAND AVENUE NE,67591,140024
-8575559.3326311,4711555.83834636,Bell Teen Parent & Child Development,"3101 16th ST, NW ",CDC-909670,Full License,2023/10/25 04:00:00+00,2026/10/31 04:00:00+00,1,20010,Center Director,BELL6TO30@gmail.com,(202) 939-7700 x5099,,,,Ana Ayala,,2006/11/01 04:00:00+00,2024/03/18 04:00:00+00,20,12,12,0,44,candia.faison@dc.gov,38.92933679,-77.03555789,396916.84,140162.53,3101 16TH STREET NW,234375,140025
-8567879.60101143,4711591.91967,Friendship Public Charter School @ Woodridge,"2959  Carlton  AVE, NE ",CDC-909672,Full License,2024/01/31 05:00:00+00,2027/01/31 05:00:00+00,5,20018,Other,Acampbell@friendshipschools.org,(202) 355-2739,,,,Jackson Campbell,Compliance Manager,2004/08/31 04:00:00+00,2023/07/19 04:00:00+00,0,50,0,125,175,yesset.makonnen@dc.gov,38.92958893,-76.96656971,402898.67,140190.45,2959 CARLTON AVENUE NE,42808,140026
-8570131.88388683,4704410.2693796,Friendship Public Charter School @ Chamberlain,"1345 Potomac AVE, SE ",CDC-909673,Full License,2023/08/04 04:00:00+00,2026/07/31 04:00:00+00,6,20003,Other,Acampbell@friendshipschools.org,(202) 281-1714,,,,Jackson Campbell,Compliance Director,2004/08/31 04:00:00+00,2023/03/14 04:00:00+00,0,40,0,135,175,Makia.Tabourn@dc.gov,38.87938499,-76.9868023,401145.15,134616.92,1345 POTOMAC AVENUE SE,66334,140027
-8571176.2963738,4699597.1961934,Dawn To Dusk Child Development Center II,"2907  7TH  ST, SE ",CDC-909675,Full License,2023/08/18 04:00:00+00,2026/08/31 04:00:00+00,8,20032,Center Director,zmccraw@dawntoduskdc.com,(202) 562-6196,,,,Zabrina McCraw,,2021/06/17 04:00:00+00,2024/08/07 04:00:00+00,7,12,28,0,47,stephanie.tindal@dc.gov,38.84571836,-76.99618442,400331.23,130879.64,2907 7TH STREET SE,43568,140028
-8570024.62544128,4702445.8472634,St. Philip's Child Development Center,"2001 14th ST, SE ",CDC-909677,Full License,2024/04/08 04:00:00+00,2026/10/31 04:00:00+00,8,20020,Center Director,cpowell@stphilipscdc.org,(202) 678-1640,,,,Crystal L. Powell,,2007/04/26 04:00:00+00,2024/10/04 04:00:00+00,16,55,24,0,95,Makia.Tabourn@dc.gov,38.86564625,-76.98583879,401228.99,133091.83,2001 14TH STREET SE,53134,140029
-8575691.96557211,4713539.45409262,Amazing Life Games Preschool,"4300 16th ST, NW ",CDC-909678,Full License,2024/03/05 05:00:00+00,2026/10/31 04:00:00+00,4,20011,Center Director,director@amazinglifegames.org,(202) 265-0114,,,,Carlos Duque,,2012/07/17 04:00:00+00,2023/09/07 04:00:00+00,0,20,15,0,35,kimberly.handon-lindsey@dc.gov,38.94319765,-77.03674935,396814.15,141701.21,4300 16TH STREET NW,258561,140030
-8574117.04863219,4707271.22982186,"Milestones Enrichment Center, Inc.","755  8th ST, NW ",CDC-909684,Full License,2023/11/21 05:00:00+00,2026/10/31 04:00:00+00,2,20001,Center Director,mec123abc@verizon.net,(202) 628-5683,,,,Raechell Redmond,,2010/02/04 05:00:00+00,2024/07/09 04:00:00+00,7,19,20,0,46,stephanie.tindal@dc.gov,38.89938884,-77.02260164,398039.43,136837.7,755 8TH STREET NW,295164,140031
-8562570.74367995,4706792.3246652,"Rainbow Child Learning Center, Inc.","505  57th ST, NE ",CDC-909700,Full License,2023/12/15 05:00:00+00,2026/11/30 05:00:00+00,7,20019,Owner/Director,rachellencrissy@aol.com,(202) 396-4112,,,,Crystal Hammond,,2019/06/06 04:00:00+00,2023/10/19 04:00:00+00,16,0,24,0,40,Makia.Tabourn@dc.gov,38.896041,-76.91887945,407037.1,136468.91,505 57TH STREET NE,14215,140032
-8574691.21542283,4716569.26817492,Bridges Early Childhood Academy,"6123 Georgia AVE, NW ",CDC-909705,Full License,2024/07/11 04:00:00+00,2026/10/31 04:00:00+00,4,20011,Owner/Director,bridgesacademydc@gmail.com,(202) 829-1901,,,,C. Lillette Campbell,,2007/04/27 04:00:00+00,2024/03/27 04:00:00+00,0,21,24,0,45,kanell.johnson@dc.gov,38.96436292,-77.02775946,397594.21,144050.51,,813531,140033
-8580585.8746338,4713475.37204924,National Presbyterian Child Care Center,"4124  Van Ness ST, NW ",CDC-909710,Full License,2023/12/01 05:00:00+00,2026/11/30 05:00:00+00,3,20016,Center Director,Kjohnson@nps-dc.org,(202) 552-4237,,,,Krystal Johnson,,2007/09/04 04:00:00+00,2024/10/16 04:00:00+00,7,0,8,0,15,yesset.makonnen@dc.gov,38.94274959,-77.08071207,393002.92,141653.96,4124 VAN NESS STREET NW,301246,140034
-8580943.36486631,4716212.06749329,Friendship Children's Center # 2,"5411 Western AVE, NW ",CDC-909723,Full License,2024/06/13 04:00:00+00,2026/10/31 04:00:00+00,3,20015,Center Director,leah@friendshipchildren.org,(202) 244-5115,,,,Leah Potts,,2009/10/15 04:00:00+00,2024/10/23 04:00:00+00,0,32,12,0,44,Makia.Tabourn@dc.gov,38.96186793,-77.08392345,392726.47,143776.52,5411 WESTERN AVENUE NW,304108,140035
-8572066.29435926,4707007.29438389,The Harbor At Station Place,"100 F ST, NE ",CDC-909724,Full License,2023/09/29 04:00:00+00,2026/09/30 04:00:00+00,6,20549,Center Director,theharbor@brighthorizons.com,(202) 408-9271,,,,Aleshia Atchison,,2007/09/12 04:00:00+00,2024/02/27 05:00:00+00,24,40,24,0,88,kimberly.handon-lindsey@dc.gov,38.89754394,-77.0041794,399637.45,136632.63,100 F STREET NE,297732,140036
-8575235.90402482,4710969.83299481,AppleTree ELPCS Before And After Program,"2750 14th ST, NW ",CDC-909725,Full License,2024/08/28 04:00:00+00,2026/12/31 05:00:00+00,1,20009,Other,devon.tucker@appletreeinstitute.org,(202) 667-9490,,,,Devon Tucker,Operations & Compliance Specialist,2007/08/28 04:00:00+00,2024/04/02 04:00:00+00,0,108,0,0,108,candia.faison@dc.gov,38.92524156,-77.03265248,397168.6,139707.83,2750 14TH STREET NW,297626,140037
-8562031.24309821,4706627.98702622,Kids Are People Too CDC  II,"408  61st  ST, NE ",CDC-909740,Full License,2024/03/19 04:00:00+00,2027/01/31 05:00:00+00,7,20019,Center Director,kaptcdc@gmail.com,(202) 397-1099,,,,Ruth Thompson,,2008/04/03 04:00:00+00,2023/08/31 04:00:00+00,0,9,12,0,21,jazmin.hunt@dc.gov,38.89489203,-76.91403303,407457.64,136341.75,408 61ST STREET NE,288097,140038
-8579244.85275939,4716745.99488332,Broad Branch Children's House,"5608 Broad Branch RD, NW ",CDC-909748,Full License,2023/10/25 04:00:00+00,2026/10/31 04:00:00+00,3,20015,Center Director,msnatalie@bbchmontessori.com,(202) 232-2233,,,,Natalie Newell,,2013/08/20 04:00:00+00,2024/07/17 04:00:00+00,0,38,12,10,60,yesset.makonnen@dc.gov,38.9655973,-77.06866547,394049.17,144189.41,5608 BROAD BRANCH ROAD NW,263174,140039
-8573428.07015445,4716737.47031096,De Colores Learning Center,"6216-6218 3rd  ST, NW ",CDC-909751,Full License,2024/01/08 05:00:00+00,2027/01/31 05:00:00+00,4,20011,Owner/Director,florencia@decoloresdc.com,(202) 829-0320,,,,Florencia Del Villar,,2020/02/26 05:00:00+00,2024/01/07 05:00:00+00,4,0,32,0,36,yesset.makonnen@dc.gov,38.96553809,-77.01641243,398577.63,144180.69,6216 3RD STREET NW,285581,140040
-8578730.93860698,4712499.74685464,National Child Research Center,"3209 Highland PL, NW ",CDC-909760,Full License,2023/12/29 05:00:00+00,2026/12/31 05:00:00+00,3,20008,Center Director,swebb@ncrcpreschool.org,(202) 363-8777,,,,Susan Webb,,2018/09/06 04:00:00+00,2024/05/21 04:00:00+00,0,135,35,0,170,yesset.makonnen@dc.gov,38.9359327,-77.0640489,394446.95,140896.08,3209 HIGHLAND PLACE NW,221029,140041
-8571268.03871437,4699869.82244252,Friendship Public Charter School @ Milwaukee,"645 Milwaukee  PL, SE ",CDC-909765,Full License,2024/02/06 05:00:00+00,2027/01/31 05:00:00+00,8,20032,Other,Acampbell@friendshipschools.org,(202) 281-1714,,,,Jackson Campbell,Compliance Director,2007/12/10 05:00:00+00,2024/05/21 04:00:00+00,0,85,0,90,175,Makia.Tabourn@dc.gov,38.84762574,-76.99700856,400259.68,131091.37,645 MILWAUKEE PLACE SE,1655,140042
-8574590.19751082,4713257.86783684,Spanish Education Development Center,"4110  Kansas AVE, NW ",CDC-909775,Full License,2023/10/30 04:00:00+00,2026/10/31 04:00:00+00,4,20011,Center Director,MARTHAEGAS@SEDCENTER.ORG,(202) 722-4404,,,,Martha Egas,,2014/10/28 04:00:00+00,2024/11/13 05:00:00+00,32,109,25,20,186,kimberly.handon-lindsey@dc.gov,38.9412299,-77.026852,397672.1,141482.51,4110 KANSAS AVENUE NW,223667,140043
-8564029.47013819,4707915.26915972,Grandma's Hands Daycare,"1024 49th ST, NE ",CDH-910248,Full License,2023/11/07 05:00:00+00,2026/10/31 04:00:00+00,7,20019,Home Provider,ORIDDICK6@GMAIL.COM,(202) 528-6516,,,,Octavia Riddick,,2011/11/10 05:00:00+00,2024/06/21 04:00:00+00,1,4,1,0,6,ronica.milledge1@dc.gov,38.90389126,-76.9319834,405899.7,137339.46,1024 49TH STREET NE,297737,140044
-8569320.05183224,4705611.54772965,Shirley Washington,"1736  Independence AVE, SE ",CDH-910254,Full License,2024/11/14 05:00:00+00,2026/11/30 05:00:00+00,7,20003,Home Provider,swashi839637@gmail.com,(202) 907-7358,,,,Shirley Washington,,2012/09/07 04:00:00+00,2024/08/26 04:00:00+00,4,0,2,0,6,kanell.johnson@dc.gov,38.88778516,-76.97950949,401777.73,135549.52,1736 INDEPENDENCE AVENUE SE,56738,140045
-8573437.14739655,4715001.99137043,"Blooming Minds CDH, LLC","305 Hamilton ST, NW Apt # 4",CDH-910257,Full License,2023/11/16 05:00:00+00,2026/10/31 04:00:00+00,4,20011,Home Provider,aditamasin80@gmail.com,(202) 425-9027,,,,Ada Masin Guzman,,2015/03/17 04:00:00+00,2024/10/24 04:00:00+00,2,0,3,0,5,yesset.makonnen@dc.gov,38.9534154,-77.01649398,398570.32,142834.96,305 HAMILTON STREET NW,243700,140046
-8574152.23736996,4716925.70572264,Damaris Mejia Vasquez,"707 Somerset  PL, NW ",CDH-910298,Full License,2024/08/01 04:00:00+00,2027/02/28 05:00:00+00,4,20011,Home Provider,arcoiris_abcd@hotmail.com,(202) 834-3375,,,,Damaris Mejia Vasquez,,2016/01/19 05:00:00+00,2024/03/14 04:00:00+00,4,0,2,0,6,kanell.johnson@dc.gov,38.96685283,-77.02291774,398013.89,144326.76,707 SOMERSET PLACE NW,250647,140047
-8572932.92374604,4696591.27730722,Timothy Goodwin  @ Jack And Jill Academy,"149  Galveston PL, SW Unit # 2",CDH-910300,Full License,2024/01/09 05:00:00+00,2026/12/31 05:00:00+00,8,20032,Home Provider,stormm1@aol.com,(202) 867-7075,,,,Timothy Goodwin,,2015/12/24 05:00:00+00,2024/11/19 05:00:00+00,1,4,1,0,6,candia.faison@dc.gov,38.82468493,-77.01196447,398961.06,128544.81,149 GALVESTON PLACE SW,62870,140048
-8570926.53721689,4712586.85930519,Petit Scholars North Campus,"3740 10th ST, NE ",CDC-102533,Full License,2023/10/06 04:00:00+00,2026/08/31 04:00:00+00,5,20017,Owner/Director,lashada@petitscholars.com,(202) 529-3357,,,,La Shada Ham-Campbell,,2016/03/23 04:00:00+00,2024/07/10 04:00:00+00,9,0,10,0,19,kimberly.handon-lindsey@dc.gov,38.93654139,-76.99394079,400525.33,140961.72,3740 10TH STREET NE,30872,140049
-8562168.07625649,4706804.94529111,Promoting Love and Wisdom Childcare Home,"508 60th ST, NE ",CDX-102536,Full License,2023/12/21 05:00:00+00,2026/12/31 05:00:00+00,7,20019,Home Provider,duncanlatrell@yahoo.com,(202) 455-9081,,,,Latrall Duncan-Fitchett,,2019/03/28 04:00:00+00,2023/05/22 04:00:00+00,3,6,3,0,12,jazmin.hunt@dc.gov,38.89612923,-76.91526222,407350.88,136478.99,508 60TH STREET NE,13713,140050
-8573905.03644033,4716205.52926695,"Blooming Blossoms Bilingual Child Development Home, LLC","518  Oneida Pl, NW ",CDX-102542,Full License,2023/09/22 04:00:00+00,2026/09/30 04:00:00+00,4,20011,Home Provider,smego1124@gmail.com,(202) 420-9316,,,,Silvia Mego Jara,,2016/03/31 04:00:00+00,2023/05/10 04:00:00+00,4,3,2,0,9,yesset.makonnen@dc.gov,38.96182259,-77.02069709,398206.21,143768.31,518 ONEIDA PLACE NW,246512,140051
-8580505.10448472,4714077.1471188,St. Albans Early Childhood  Center,"4404 Wisconsin AVE, NW ",CDC-102544,Full License,2023/12/15 05:00:00+00,2026/11/30 05:00:00+00,3,20016,Center Director,dmason2@saecc.org,(202) 363-7380,,,,Donna Mason,,2020/01/31 05:00:00+00,2024/09/19 04:00:00+00,32,95,98,0,225,kimberly.handon-lindsey@dc.gov,38.94695398,-77.0799865,393066.23,142120.63,4404 WISCONSIN AVENUE NW,264418,140052
-8573981.06986926,4712277.69971577,KinderCare Education Champions LLC @ Bruce Monroe Elementary School,"3560 Warder ST, NW ",CDC-102547,Restricted,2024/12/11 05:00:00+00,2025/03/03 05:00:00+00,1,20010,Other,tomekia.wilburn@discoverchampions.com,(301) 588-0368,,,,Tomekia Wilburn,Program Manager,2016/05/27 04:00:00+00,2021/11/15 05:00:00+00,0,100,0,100,200,jazmin.hunt@dc.gov,38.93438112,-77.02138012,398146.3,140722.11,3560 WARDER STREET NW,294583,140053
